first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,5.599998474121122,5
2019-03-17,2019-03-23,5.199996948242159,5
2019-03-24,2019-03-30,3.100006103515625,5
2019-03-31,2019-04-06,-3.324996948242159,5
2019-04-07,2019-04-13,-0.5249938964844318,5
2019-04-14,2019-04-20,14.449996948242216,5
2019-04-21,2019-04-27,-1.524993896484375,5
2019-04-28,2019-05-04,-7.600006103515625,5
2019-05-05,2019-05-11,-2.8249969482421875,5
2019-05-12,2019-05-18,-8.324996948242188,5
2019-05-19,2019-05-25,2.524993896484375,5
2019-05-26,2019-06-01,-10.300003051757784,5
2019-06-02,2019-06-08,2.7999954223633097,5
2019-06-09,2019-06-15,2.650009155273409,5
2019-06-16,2019-06-22,-3.975006103515625,5
2019-06-23,2019-06-29,0.34999847412109375,5
2019-06-30,2019-07-06,2.7750015258789062,5
2019-07-07,2019-07-13,-1.399993896484375,5
2019-07-14,2019-07-20,-4.750007629394531,5
2019-07-21,2019-07-27,-3.7249984741210938,5
2019-07-28,2019-08-03,1.6749954223632812,5
2019-08-04,2019-08-10,5.8000030517578125,5
2019-08-11,2019-08-17,-4.9500045776367045,5
2019-08-18,2019-08-24,-2.024993896484389,5
2019-08-25,2019-08-31,-6.575004577636719,5
2019-09-01,2019-09-07,0.0,5
2019-09-08,2019-09-14,0.0500030517578125,5
2019-09-15,2019-09-21,-4.566670735677083,4
2019-09-22,2019-09-28,1.8249969482421875,5
2019-09-29,2019-10-05,-2.25,2
2019-10-06,2019-10-12,-7.0,3
2019-10-13,2019-10-19,-8.066670735677064,3
2019-10-20,2019-10-26,3.900004069010398,3
2019-10-27,2019-11-02,3.4499969482421875,5
2019-11-03,2019-11-09,4.875,5
2019-11-10,2019-11-16,-0.650001525878892,5
2019-11-17,2019-11-23,0.15000152587890625,5
2019-11-24,2019-11-30,-1.5,5
2019-12-01,2019-12-07,-2.7249984741210938,5
2019-12-08,2019-12-14,2.2249984741210938,5
2019-12-15,2019-12-21,-0.27500152587889204,5
2019-12-22,2019-12-28,3.475006103515611,5
2019-12-29,2020-01-04,0.5250015258789062,5
2020-01-05,2020-01-11,1.8249969482421875,5
2020-01-12,2020-01-18,0.4250030517578125,5
2020-01-19,2020-01-25,0.27500152587890625,5
2020-01-26,2020-02-01,-1.0,5
2020-02-02,2020-02-08,-0.47499847412109375,5
2020-02-09,2020-02-15,1.5499954223632955,5
2020-02-16,2020-02-22,-0.25,5
2020-02-23,2020-02-29,-0.02500152587890625,5
2020-03-01,2020-03-07,-2.8333333333333335,4
2020-03-08,2020-03-14,-12.599995930989584,4
2020-03-15,2020-03-21,-16.625,5
2020-03-22,2020-03-28,1.125,5
2020-03-29,2020-04-04,30.22500228881836,5
2020-04-05,2020-04-11,-7.566670735677083,3
2020-04-12,2020-04-18,-11.050003051757812,3
2020-04-19,2020-04-25,2.600006103515625,5
2020-04-26,2020-05-02,2.1499938964844034,3
2020-05-03,2020-05-09,0.6750030517577983,5
2020-05-10,2020-05-16,-1.4499969482421875,5
2020-05-17,2020-05-23,-1.1750030517578125,5
2020-05-24,2020-05-30,-10.650001525878906,4
2020-05-31,2020-06-06,1.625,5
2020-06-07,2020-06-13,-0.7750015258789062,4
2020-06-14,2020-06-20,1.5500030517578125,5
2020-06-21,2020-06-27,24.425003051757812,5
2020-06-28,2020-07-04,-8.5,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,-3.5749969482421875,5
2020-07-19,2020-07-25,0.5,5
2020-07-26,2020-08-01,13.675003051757798,4
