first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,5.75,5
2019-03-17,2019-03-23,-0.25,5
2019-03-24,2019-03-30,2.5,5
2019-03-31,2019-04-06,-15.0,5
2019-04-07,2019-04-13,6.25,5
2019-04-14,2019-04-20,2.0,5
2019-04-21,2019-04-27,12.25,5
2019-04-28,2019-05-04,-16.5,5
2019-05-05,2019-05-11,-5.25,5
2019-05-12,2019-05-18,2.0,5
2019-05-19,2019-05-25,-16.5,5
2019-05-26,2019-06-01,-0.5,5
2019-06-02,2019-06-08,-0.75,5
2019-06-09,2019-06-15,-2.75,5
2019-06-16,2019-06-22,10.75,5
2019-06-23,2019-06-29,10.0,5
2019-06-30,2019-07-06,2.25,5
2019-07-07,2019-07-13,8.5,5
2019-07-14,2019-07-20,-8.75,5
2019-07-21,2019-07-27,7.5,5
2019-07-28,2019-08-03,21.0,5
2019-08-04,2019-08-10,6.25,5
2019-08-11,2019-08-17,-35.25,5
2019-08-18,2019-08-24,-18.5,5
2019-08-25,2019-08-31,2.25,5
2019-09-01,2019-09-07,8.75,5
2019-09-08,2019-09-14,7.75,5
2019-09-15,2019-09-21,23.333333333333332,4
2019-09-22,2019-09-28,14.25,5
2019-09-29,2019-10-05,-34.0,2
2019-10-06,2019-10-12,10.5,3
2019-10-13,2019-10-19,1.3333333333333333,3
2019-10-20,2019-10-26,0.3333333333333333,3
2019-10-27,2019-11-02,-10.25,5
2019-11-03,2019-11-09,1.5,5
2019-11-10,2019-11-16,10.25,5
2019-11-17,2019-11-23,33.5,5
2019-11-24,2019-11-30,2.5,5
2019-12-01,2019-12-07,-15.75,5
2019-12-08,2019-12-14,-3.25,5
2019-12-15,2019-12-21,4.5,5
2019-12-22,2019-12-28,-1.25,5
2019-12-29,2020-01-04,-5.25,5
2020-01-05,2020-01-11,8.75,5
2020-01-12,2020-01-18,-2.25,5
2020-01-19,2020-01-25,24.75,5
2020-01-26,2020-02-01,-10.0,5
2020-02-02,2020-02-08,-3.25,5
2020-02-09,2020-02-15,1.25,5
2020-02-16,2020-02-22,-2.0,5
2020-02-23,2020-02-29,-9.5,5
2020-03-01,2020-03-07,5.666666666666667,4
2020-03-08,2020-03-14,-78.66666666666667,4
2020-03-15,2020-03-21,13.75,5
2020-03-22,2020-03-28,19.0,5
2020-03-29,2020-04-04,2.75,5
2020-04-05,2020-04-11,1.3333333333333333,3
2020-04-12,2020-04-18,-39.0,3
2020-04-19,2020-04-25,1.25,5
2020-04-26,2020-05-02,11.5,3
2020-05-03,2020-05-09,26.25,5
2020-05-10,2020-05-16,-22.75,5
2020-05-17,2020-05-23,-15.5,5
2020-05-24,2020-05-30,-30.25,4
2020-05-31,2020-06-06,6.0,5
2020-06-07,2020-06-13,26.75,4
2020-06-14,2020-06-20,-7.5,5
2020-06-21,2020-06-27,-17.0,5
2020-06-28,2020-07-04,3.750009536743221,5
2020-07-05,2020-07-11,-17.25,5
2020-07-12,2020-07-18,32.75,5
2020-07-19,2020-07-25,5.0,5
2020-07-26,2020-08-01,-3.75,4
