first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-0.9600006103515625,5
2019-09-15,2019-09-21,0.625,4
2019-09-22,2019-09-28,-1.5,5
2019-09-29,2019-10-05,3.200000762939453,2
2019-10-06,2019-10-12,-1.3999989827473958,3
2019-10-13,2019-10-19,0.0,3
2019-10-20,2019-10-26,-1.0333353678385417,3
2019-10-27,2019-11-02,-0.7199996948242188,5
2019-11-03,2019-11-09,2.3199996948242188,5
2019-11-10,2019-11-16,-1.9599990844726562,5
2019-11-17,2019-11-23,3.4,5
2019-11-24,2019-11-30,-3.2199996948242187,5
2019-12-01,2019-12-07,1.6599990844726562,5
2019-12-08,2019-12-14,-1.6199996948242188,5
2019-12-15,2019-12-21,3.5,5
2019-12-22,2019-12-28,-0.8199996948242188,5
2019-12-29,2020-01-04,-1.3400009155273438,5
2020-01-05,2020-01-11,0.14000091552734376,5
2020-01-12,2020-01-18,-0.34000091552734374,5
2020-01-19,2020-01-25,0.3,5
2020-01-26,2020-02-01,0.7600006103515625,5
2020-02-02,2020-02-08,-2.2800003051757813,5
2020-02-09,2020-02-15,1.3400009155273438,5
2020-02-16,2020-02-22,0.0399993896484375,5
2020-02-23,2020-02-29,-2.1199996948242186,5
2020-03-01,2020-03-07,-2.575000762939453,4
2020-03-08,2020-03-14,-0.5749998092651367,4
2020-03-15,2020-03-21,-2.019999694824219,5
2020-03-22,2020-03-28,0.5799995422363281,5
2020-03-29,2020-04-04,1.7200004577636718,5
2020-04-05,2020-04-11,-0.23333358764648438,3
2020-04-12,2020-04-18,1.8000005086262973,3
2020-04-19,2020-04-25,1.1399993896484404,5
2020-04-26,2020-05-02,-2.0333328247070312,3
2020-05-03,2020-05-09,-0.4400001525878906,5
2020-05-10,2020-05-16,-0.14000015258789061,5
2020-05-17,2020-05-23,-0.41999969482421873,5
2020-05-24,2020-05-30,-0.5500001907348633,4
2020-05-31,2020-06-06,3.879999542236328,5
2020-06-07,2020-06-13,0.07500076293945312,4
2020-06-14,2020-06-20,7.2,5
2020-06-21,2020-06-27,-2.480000305175781,5
2020-06-28,2020-07-04,0.18000030517578125,5
2020-07-05,2020-07-11,2.2199996948242187,5
2020-07-12,2020-07-18,-0.2,5
2020-07-19,2020-07-25,0.2199996948242216,5
2020-07-26,2020-08-01,0.850000381469723,4
2020-08-02,2020-08-08,-0.5199996948242187,5
2020-08-09,2020-08-15,0.6199996948242188,5
2020-08-16,2020-08-22,2.300001525878906,5
2020-08-23,2020-08-29,1.0399993896484319,5
2020-08-30,2020-09-05,-0.7200012207031137,5
