first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-6.375,5
2019-03-10,2019-03-16,-0.4250030517578125,5
2019-03-17,2019-03-23,0.4499969482421875,5
2019-03-24,2019-03-30,1.8249969482422017,5
2019-03-31,2019-04-06,-0.875,5
2019-04-07,2019-04-13,4.0,5
2019-04-14,2019-04-20,-2.0250015258789062,5
2019-04-21,2019-04-27,-2.1750030517578125,5
2019-04-28,2019-05-04,-1.5500030517578125,5
2019-05-05,2019-05-11,-1.4750061035156108,5
2019-05-12,2019-05-18,-3.0,5
2019-05-19,2019-05-25,5.75,5
2019-05-26,2019-06-01,2.6500015258789062,5
2019-06-02,2019-06-08,-6.5500030517578125,5
2019-06-09,2019-06-15,1.5,5
2019-06-16,2019-06-22,1.5250015258789062,5
2019-06-23,2019-06-29,2.875,5
2019-06-30,2019-07-06,6.824996948242202,5
2019-07-07,2019-07-13,4.650001525878892,5
2019-07-14,2019-07-20,-3.0999984741210938,5
2019-07-21,2019-07-27,0.34999847412110796,5
2019-07-28,2019-08-03,10.150001525878906,5
2019-08-04,2019-08-10,9.150001525878878,5
2019-08-11,2019-08-17,-3.425003051757784,5
2019-08-18,2019-08-24,-4.949996948242216,5
2019-08-25,2019-08-31,-2.6749954223632955,5
2019-09-01,2019-09-07,14.400001525878906,5
2019-09-08,2019-09-14,-2.625,5
2019-09-15,2019-09-21,12.300008138020834,4
2019-09-22,2019-09-28,2.725006103515625,5
2019-09-29,2019-10-05,-3.29998779296875,2
2019-10-06,2019-10-12,22.850006103515625,3
2019-10-13,2019-10-19,5.599995930989583,3
2019-10-20,2019-10-26,-4.599995930989583,3
2019-10-27,2019-11-02,-0.3000030517578125,5
2019-11-03,2019-11-09,-9.0,5
2019-11-10,2019-11-16,-0.899993896484375,5
2019-11-17,2019-11-23,10.100006103515625,5
2019-11-24,2019-11-30,-3.0749969482421875,5
2019-12-01,2019-12-07,-4.774993896484375,5
2019-12-08,2019-12-14,-1.3249969482421875,5
2019-12-15,2019-12-21,17.725006103515625,5
2019-12-22,2019-12-28,15.5,5
2019-12-29,2020-01-04,18.5,5
2020-01-05,2020-01-11,-7.75,5
2020-01-12,2020-01-18,-5.25,5
2020-01-19,2020-01-25,-3.75,5
2020-01-26,2020-02-01,6.4000091552734375,5
2020-02-02,2020-02-08,7.649993896484375,5
2020-02-09,2020-02-15,-1.0,5
2020-02-16,2020-02-22,3.875,5
2020-02-23,2020-02-29,-7.25,5
2020-03-01,2020-03-07,-12.333333333333334,4
2020-03-08,2020-03-14,-37.566670735677086,4
2020-03-15,2020-03-21,-23.625,5
2020-03-22,2020-03-28,41.5,5
2020-03-29,2020-04-04,11.624992370605469,5
2020-04-05,2020-04-11,13.20001220703125,3
2020-04-12,2020-04-18,-27.449981689453182,3
2020-04-19,2020-04-25,-12.124999999999972,5
2020-04-26,2020-05-02,17.54998779296875,3
2020-05-03,2020-05-09,-4.550003051757784,5
2020-05-10,2020-05-16,-15.275001525878906,5
2020-05-17,2020-05-23,5.350006103515625,5
2020-05-24,2020-05-30,-6.750007629394531,4
2020-05-31,2020-06-06,-3.125,5
2020-06-07,2020-06-13,19.62500762939453,4
2020-06-14,2020-06-20,-0.75,5
2020-06-21,2020-06-27,-12.625,5
2020-06-28,2020-07-04,5.000000953674331,5
2020-07-05,2020-07-11,-7.475006103515611,5
2020-07-12,2020-07-18,2.875,5
2020-07-19,2020-07-25,11.275001525878906,5
