first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,392.0,5
2019-09-15,2019-09-21,852.5,4
2019-09-22,2019-09-28,450.0,5
2019-09-29,2019-10-05,-550.0,2
2019-10-06,2019-10-12,956.6666666666666,3
2019-10-13,2019-10-19,776.6666666666666,3
2019-10-20,2019-10-26,240.0,3
2019-10-27,2019-11-02,276.0,5
2019-11-03,2019-11-09,242.0,5
2019-11-10,2019-11-16,-434.0,5
2019-11-17,2019-11-23,612.0,5
2019-11-24,2019-11-30,72.0,5
2019-12-01,2019-12-07,-1054.0,5
2019-12-08,2019-12-14,-52.0,5
2019-12-15,2019-12-21,506.0,5
2019-12-22,2019-12-28,110.0,5
2019-12-29,2020-01-04,174.0,5
2020-01-05,2020-01-11,-136.0,5
2020-01-12,2020-01-18,1000.0,5
2020-01-19,2020-01-25,872.0,5
2020-01-26,2020-02-01,-1132.0,5
2020-02-02,2020-02-08,-10.0,5
2020-02-09,2020-02-15,390.0,5
2020-02-16,2020-02-22,494.0,5
2020-02-23,2020-02-29,-1324.0,5
2020-03-01,2020-03-07,-275.0,4
2020-03-08,2020-03-14,-5712.5,4
2020-03-15,2020-03-21,-740.0,5
2020-03-22,2020-03-28,1570.0,5
2020-03-29,2020-04-04,1868.0,5
2020-04-05,2020-04-11,976.6666666666666,3
2020-04-12,2020-04-18,-2240.0,3
2020-04-19,2020-04-25,-942.0,5
2020-04-26,2020-05-02,1653.3333333333333,3
2020-05-03,2020-05-09,-194.0,5
2020-05-10,2020-05-16,-826.0,5
2020-05-17,2020-05-23,-650.0,5
2020-05-24,2020-05-30,982.5,4
2020-05-31,2020-06-06,-1270.0,5
2020-06-07,2020-06-13,-312.5,4
2020-06-14,2020-06-20,-464.0,5
2020-06-21,2020-06-27,-686.0,5
2020-06-28,2020-07-04,688.0,5
2020-07-05,2020-07-11,-124.0,5
2020-07-12,2020-07-18,348.0,5
2020-07-19,2020-07-25,-1048.0,5
2020-07-26,2020-08-01,-5.0,4
2020-08-02,2020-08-08,704.0,5
2020-08-09,2020-08-15,-32.0,5
2020-08-16,2020-08-22,-172.0,5
2020-08-23,2020-08-29,542.0,5
2020-08-30,2020-09-05,-124.0,5
