first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,1.9000015258789062,5
2019-03-10,2019-03-16,0.5499992370605469,5
2019-03-17,2019-03-23,0.7250022888183523,5
2019-03-24,2019-03-30,0.07500076293945312,5
2019-03-31,2019-04-06,0.625,5
2019-04-07,2019-04-13,-0.4250030517577983,5
2019-04-14,2019-04-20,-4.599998474121101,5
2019-04-21,2019-04-27,0.4499969482421875,5
2019-04-28,2019-05-04,1.0999984741210938,5
2019-05-05,2019-05-11,-0.9749984741210938,5
2019-05-12,2019-05-18,-0.625,5
2019-05-19,2019-05-25,1.6499977111816477,5
2019-05-26,2019-06-01,-3.625,5
2019-06-02,2019-06-08,1.4500007629394531,5
2019-06-09,2019-06-15,1.25,5
2019-06-16,2019-06-22,1.625,5
2019-06-23,2019-06-29,-2.6999969482422017,5
2019-06-30,2019-07-06,0.7999992370605469,5
2019-07-07,2019-07-13,-0.7250022888183523,5
2019-07-14,2019-07-20,0.22500228881835227,5
2019-07-21,2019-07-27,1.0500030517577983,5
2019-07-28,2019-08-03,-2.6500015258789062,5
2019-08-04,2019-08-10,-0.4500007629394531,5
2019-08-11,2019-08-17,1.0750007629394531,5
2019-08-18,2019-08-24,2.575000762939446,5
2019-08-25,2019-08-31,2.375,5
2019-09-01,2019-09-07,4.450000762939446,5
2019-09-08,2019-09-14,-1.7000007629394531,5
2019-09-15,2019-09-21,-0.6000010172525947,4
2019-09-22,2019-09-28,-1.7750015258788991,5
2019-09-29,2019-10-05,1.5500030517577983,2
2019-10-06,2019-10-12,2.6999969482422017,3
2019-10-13,2019-10-19,1.4333343505859375,3
2019-10-20,2019-10-26,-0.3333333333333333,3
2019-10-27,2019-11-02,-1.049999237060554,5
2019-11-03,2019-11-09,-1.2749977111816477,5
2019-11-10,2019-11-16,2.275001525878899,5
2019-11-17,2019-11-23,0.8999977111816477,5
2019-11-24,2019-11-30,0.17499923706055398,5
2019-12-01,2019-12-07,-4.325000762939446,5
2019-12-08,2019-12-14,2.575000762939453,5
2019-12-15,2019-12-21,-1.0499992370605469,5
2019-12-22,2019-12-28,3.275001525878899,5
2019-12-29,2020-01-04,4.875,5
2020-01-05,2020-01-11,3.275001525878892,5
2020-01-12,2020-01-18,2.3250045776367045,5
2020-01-19,2020-01-25,0.5250015258789062,5
2020-01-26,2020-02-01,-3.7999954223632812,5
2020-02-02,2020-02-08,2.349998474121108,5
2020-02-09,2020-02-15,-0.75,5
2020-02-16,2020-02-22,-3.999999999999986,5
2020-02-23,2020-02-29,-3.475002288818345,5
2020-03-01,2020-03-07,-7.833333333333333,4
2020-03-08,2020-03-14,-10.133336385091136,4
2020-03-15,2020-03-21,-8.424999237060547,5
2020-03-22,2020-03-28,8.39999771118164,5
2020-03-29,2020-04-04,-1.5250015258789062,5
2020-04-05,2020-04-11,11.799997965494802,3
2020-04-12,2020-04-18,-3.1000061035155966,3
2020-04-19,2020-04-25,-2.1499977111816477,5
2020-04-26,2020-05-02,2.9500045776367045,3
2020-05-03,2020-05-09,-4.674999237060547,5
2020-05-10,2020-05-16,1.075000762939446,5
2020-05-17,2020-05-23,-0.5999984741211009,5
2020-05-24,2020-05-30,-0.40000152587889914,4
2020-05-31,2020-06-06,-1.9499969482422017,5
2020-06-07,2020-06-13,5.824996948242202,4
2020-06-14,2020-06-20,-1.1499977111816477,5
2020-06-21,2020-06-27,0.09999847412110086,5
2020-06-28,2020-07-04,3.149999976158142,5
2020-07-05,2020-07-11,-1.0999984741211009,5
2020-07-12,2020-07-18,5.725002288818352,5
2020-07-19,2020-07-25,0.6000022888183523,5
