first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-3.779998779296875,5
2019-09-15,2019-09-21,-4.0,4
2019-09-22,2019-09-28,-3.340002441406239,5
2019-09-29,2019-10-05,-1.550003051757841,2
2019-10-06,2019-10-12,0.9333394368489394,3
2019-10-13,2019-10-19,-1.0,3
2019-10-20,2019-10-26,-1.0666707356770455,3
2019-10-27,2019-11-02,0.47999877929686363,5
2019-11-03,2019-11-09,0.22000122070313638,5
2019-11-10,2019-11-16,-2.8000000000000056,5
2019-11-17,2019-11-23,-1.3599975585937614,5
2019-11-24,2019-11-30,0.059997558593761366,5
2019-12-01,2019-12-07,0.2,5
2019-12-08,2019-12-14,1.3600006103515567,5
2019-12-15,2019-12-21,1.4199981689453125,5
2019-12-22,2019-12-28,-2.0999969482421874,5
2019-12-29,2020-01-04,2.819998168945324,5
2020-01-05,2020-01-11,3.8799987792968635,5
2020-01-12,2020-01-18,-3.0,5
2020-01-19,2020-01-25,-0.4,5
2020-01-26,2020-02-01,-0.6199951171875,5
2020-02-02,2020-02-08,0.8399963378906363,5
2020-02-09,2020-02-15,-3.559997558593767,5
2020-02-16,2020-02-22,-2.780001831054682,5
2020-02-23,2020-02-29,-3.3600006103515567,5
2020-03-01,2020-03-07,-1.6499977111816477,4
2020-03-08,2020-03-14,-26.075000762939453,4
2020-03-15,2020-03-21,1.1800003051757812,5
2020-03-22,2020-03-28,0.059999084472659094,5
2020-03-29,2020-04-04,4.039999389648434,5
2020-04-05,2020-04-11,-2.2666651407877603,3
2020-04-12,2020-04-18,5.699999491373698,3
2020-04-19,2020-04-25,-3.679998779296878,5
2020-04-26,2020-05-02,2.4666646321614727,3
2020-05-03,2020-05-09,2.160000610351557,5
2020-05-10,2020-05-16,1.9600006103515626,5
2020-05-17,2020-05-23,9.0,5
2020-05-24,2020-05-30,-0.15000152587890625,4
2020-05-31,2020-06-06,-4.239999389648437,5
2020-06-07,2020-06-13,-2.5999984741210938,4
2020-06-14,2020-06-20,-0.320001220703125,5
2020-06-21,2020-06-27,41.0,5
2020-06-28,2020-07-04,-2.479998779296875,5
2020-07-05,2020-07-11,-11.44000244140625,5
2020-07-12,2020-07-18,-6.139996337890625,5
2020-07-19,2020-07-25,-0.06000366210936363,5
2020-07-26,2020-08-01,1.025001525878892,4
2020-08-02,2020-08-08,13.3,5
2020-08-09,2020-08-15,-23.02000122070312,5
2020-08-16,2020-08-22,-9.800000000000006,5
2020-08-23,2020-08-29,-5.95999755859375,5
2020-08-30,2020-09-05,-1.220001220703125,5
