first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.015994000434875533,5
2019-09-15,2019-09-21,0.006462514400482178,4
2019-09-22,2019-09-28,-0.01147000789642334,5
2019-09-29,2019-10-05,-0.006864964962005615,2
2019-10-06,2019-10-12,0.0024233261744181314,3
2019-10-13,2019-10-19,0.00538333257039388,3
2019-10-20,2019-10-26,0.010770003000895182,3
2019-10-27,2019-11-02,-0.00032401084899906784,5
2019-11-03,2019-11-09,0.027785992622375532,5
2019-11-10,2019-11-16,-0.006299996376037597,5
2019-11-17,2019-11-23,0.013892006874084473,5
2019-11-24,2019-11-30,-0.001453995704650879,5
2019-12-01,2019-12-07,0.008723998069763183,5
2019-12-08,2019-12-14,-0.00500800609588623,5
2019-12-15,2019-12-21,0.10338799953460694,5
2019-12-22,2019-12-28,0.008237981796264648,5
2019-12-29,2020-01-04,0.0077540397644044745,5
2020-01-05,2020-01-11,-0.02681603431701678,5
2020-01-12,2020-01-18,0.009208011627197176,5
2020-01-19,2020-01-25,0.08662600517272959,5
2020-01-26,2020-02-01,-0.008799982070922852,5
2020-02-02,2020-02-08,-0.005800008773803711,5
2020-02-09,2020-02-15,-0.006999969482421875,2
2020-02-16,2020-02-22,0.014199972152709961,5
2020-02-23,2020-02-29,-0.1424999237060547,2
2020-03-01,2020-03-07,-3.5333353678385415,4
2020-03-08,2020-03-14,-70.27524998784065,4
2020-03-15,2020-03-21,-0.0407999992370605,5
2020-03-22,2020-03-28,0.07299997806549072,5
2020-03-29,2020-04-04,0.04120001792907715,5
2020-04-05,2020-04-11,0.033999999364217125,3
2020-04-12,2020-04-18,-0.0690000057220459,3
2020-04-19,2020-04-25,0.07139997482299805,5
2020-04-26,2020-05-02,0.015333334604899088,3
2020-05-03,2020-05-09,0.015200042724609375,5
2020-05-10,2020-05-16,-0.0690000057220459,5
2020-05-17,2020-05-23,0.017799997329711915,5
2020-05-24,2020-05-30,0.009000003337860107,4
2020-05-31,2020-06-06,-0.021000027656555176,2
