first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,2.625,5
2019-03-10,2019-03-16,5.149993896484375,1
2019-03-17,2019-03-23,15.949996948242188,2
2019-03-24,2019-03-30,-3.0750045776367188,5
2019-03-31,2019-04-06,-3.2249984741210938,5
2019-04-07,2019-04-13,10.199996948242202,5
2019-04-14,2019-04-20,5.849990844726591,1
2019-05-12,2019-05-18,-1.9499969482422017,4
2019-05-19,2019-05-25,5.899993896484403,2
2019-06-09,2019-06-15,-17.0,1
2019-07-14,2019-07-20,0.20001220703119316,1
2019-07-21,2019-07-27,-11.79998779296875,1
2019-07-28,2019-08-03,0.0,5
2019-08-04,2019-08-10,2.375,5
2019-08-11,2019-08-17,-6.599998474121094,5
2019-08-18,2019-08-24,-13.199996948242188,1
2019-09-01,2019-09-07,-11.20001220703125,1
2019-09-15,2019-09-21,3.7666727701822915,3
2019-09-22,2019-09-28,-3.73333740234375,3
2019-10-13,2019-10-19,-5.399993896484375,1
2019-10-20,2019-10-26,0.0,3
2019-10-27,2019-11-02,-2.6750030517578125,5
2019-11-03,2019-11-09,-7.025001525878892,5
2019-11-10,2019-11-16,-2.5250015258789062,5
2019-11-17,2019-11-23,0.0,5
2019-11-24,2019-11-30,-3.100006103515611,5
2019-12-01,2019-12-07,-2.2999954223632955,5
2019-12-08,2019-12-14,-6.400001525878906,5
2019-12-15,2019-12-21,-2.0999984741210938,5
2019-12-22,2019-12-28,-2.125,5
2019-12-29,2020-01-04,8.449996948242188,5
2020-01-05,2020-01-11,4.724998474121108,5
2020-01-12,2020-01-18,-2.25,5
2020-01-19,2020-01-25,3.4500045776367045,5
2020-01-26,2020-02-01,0.0,5
2020-02-02,2020-02-08,-4.850006103515597,2
2020-02-16,2020-02-22,9.600006103515597,2
2020-02-23,2020-02-29,-1.8250045776367045,5
2020-03-01,2020-03-07,1.0666707356770833,4
2020-03-08,2020-03-14,-28.533335367838543,4
2020-03-15,2020-03-21,1.75,5
2020-03-22,2020-03-28,-2.8249969482421875,5
2020-03-29,2020-04-04,2.9749984741210938,5
2020-04-05,2020-04-11,7.866668701171875,3
2020-04-12,2020-04-18,-3.3499908447265625,3
2020-04-19,2020-04-25,3.2999954223632812,5
2020-04-26,2020-05-02,0.0,3
2020-05-03,2020-05-09,-2.1666666666666665,3
2020-06-28,2020-07-04,3.375002861022949,4
2020-07-05,2020-07-11,4.525001525878906,5
2020-07-19,2020-07-25,13.166666666666666,3
