first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,47.2,5
2019-09-15,2019-09-21,68.75,4
2019-09-22,2019-09-28,53.6,5
2019-09-29,2019-10-05,-255.0,2
2019-10-06,2019-10-12,127.0,3
2019-10-13,2019-10-19,119.66666666666667,3
2019-10-20,2019-10-26,-5.666666666666667,3
2019-10-27,2019-11-02,149.8,5
2019-11-03,2019-11-09,-45.8,5
2019-11-10,2019-11-16,-23.0,5
2019-11-17,2019-11-23,20.4,5
2019-11-24,2019-11-30,80.6,5
2019-12-01,2019-12-07,-33.4,5
2019-12-08,2019-12-14,25.4,5
2019-12-15,2019-12-21,-41.4,5
2019-12-22,2019-12-28,-2.4,5
2019-12-29,2020-01-04,31.4,5
2020-01-05,2020-01-11,-25.2,5
2020-01-12,2020-01-18,40.2,5
2020-01-19,2020-01-25,52.0,5
2020-01-26,2020-02-01,-12.6,5
2020-02-02,2020-02-08,146.0,5
2020-02-09,2020-02-15,-90.0,5
2020-02-16,2020-02-22,66.0,5
2020-02-23,2020-02-29,-262.0,5
2020-03-01,2020-03-07,-193.0,4
2020-03-08,2020-03-14,-447.0,4
2020-03-15,2020-03-21,-309.8,5
2020-03-22,2020-03-28,170.4,5
2020-03-29,2020-04-04,257.2,5
2020-04-05,2020-04-11,374.3333333333333,3
2020-04-12,2020-04-18,116.33333333333333,3
2020-04-19,2020-04-25,-78.0,5
2020-04-26,2020-05-02,-191.0,3
2020-05-03,2020-05-09,-185.6,5
2020-05-10,2020-05-16,-132.2,5
2020-05-17,2020-05-23,113.6,5
2020-05-24,2020-05-30,31.5,4
2020-05-31,2020-06-06,-20.6,5
2020-06-07,2020-06-13,-48.5,4
2020-06-14,2020-06-20,-2.6,5
2020-06-21,2020-06-27,-101.8,5
2020-06-28,2020-07-04,27.2,5
2020-07-05,2020-07-11,-60.2,5
2020-07-12,2020-07-18,32.8,5
2020-07-19,2020-07-25,-56.4,5
2020-07-26,2020-08-01,136.25,4
2020-08-02,2020-08-08,104.8,5
2020-08-09,2020-08-15,98.6,5
2020-08-16,2020-08-22,-224.2,5
2020-08-23,2020-08-29,-6.2,5
2020-08-30,2020-09-05,-52.2,5
