first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-8.5,5
2019-03-10,2019-03-16,18.0,5
2019-03-17,2019-03-23,65.5,5
2019-03-24,2019-03-30,-59.0,5
2019-03-31,2019-04-06,44.5,5
2019-04-07,2019-04-13,116.0,5
2019-04-14,2019-04-20,-7.5,5
2019-04-21,2019-04-27,-10.75,5
2019-04-28,2019-05-04,-34.75,5
2019-05-05,2019-05-11,25.5,5
2019-05-12,2019-05-18,-20.5,5
2019-05-19,2019-05-25,23.75,5
2019-05-26,2019-06-01,19.0,5
2019-06-02,2019-06-08,10.25,5
2019-06-09,2019-06-15,-38.0,5
2019-06-16,2019-06-22,-39.25,5
2019-06-23,2019-06-29,49.0,5
2019-06-30,2019-07-06,-5.5,5
2019-07-07,2019-07-13,75.5,5
2019-07-14,2019-07-20,9.5,5
2019-07-21,2019-07-27,60.75,5
2019-07-28,2019-08-03,70.25,5
2019-08-04,2019-08-10,96.0,5
2019-08-11,2019-08-17,-168.0,5
2019-08-18,2019-08-24,97.0,5
2019-08-25,2019-08-31,14.5,5
2019-09-01,2019-09-07,-79.0,5
2019-09-08,2019-09-14,26.5,5
2019-09-15,2019-09-21,78.33333333333333,4
2019-09-22,2019-09-28,62.25,5
2019-09-29,2019-10-05,-255.0,2
2019-10-06,2019-10-12,132.5,3
2019-10-13,2019-10-19,119.66666666666667,3
2019-10-20,2019-10-26,-5.666666666666667,3
2019-10-27,2019-11-02,159.5,5
2019-11-03,2019-11-09,-52.25,5
2019-11-10,2019-11-16,-13.75,5
2019-11-17,2019-11-23,-18.25,5
2019-11-24,2019-11-30,54.0,5
2019-12-01,2019-12-07,-16.25,5
2019-12-08,2019-12-14,16.25,5
2019-12-15,2019-12-21,-35.75,5
2019-12-22,2019-12-28,-26.25,5
2019-12-29,2020-01-04,50.5,5
2020-01-05,2020-01-11,-29.0,5
2020-01-12,2020-01-18,42.0,5
2020-01-19,2020-01-25,32.25,5
2020-01-26,2020-02-01,10.5,5
2020-02-02,2020-02-08,286.0,5
2020-02-09,2020-02-15,-85.0,5
2020-02-16,2020-02-22,-35.0,5
2020-02-23,2020-02-29,-292.5,5
2020-03-01,2020-03-07,-125.66666666666667,4
2020-03-08,2020-03-14,-363.6666666666667,4
2020-03-15,2020-03-21,-267.0,5
2020-03-22,2020-03-28,300.75,5
2020-03-29,2020-04-04,371.25,5
2020-04-05,2020-04-11,374.3333333333333,3
2020-04-12,2020-04-18,-13.0,3
2020-04-19,2020-04-25,-230.25,5
2020-04-26,2020-05-02,-224.0,3
2020-05-03,2020-05-09,-162.5,5
2020-05-10,2020-05-16,-206.5,5
2020-05-17,2020-05-23,112.25,5
2020-05-24,2020-05-30,31.5,4
2020-05-31,2020-06-06,54.25,5
2020-06-07,2020-06-13,-48.5,4
2020-06-14,2020-06-20,37.75,5
2020-06-21,2020-06-27,-66.75,5
2020-06-28,2020-07-04,103.75001907348633,5
2020-07-05,2020-07-11,-64.0,5
2020-07-12,2020-07-18,90.5,5
2020-07-19,2020-07-25,-29.5,5
