first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-0.05000019073486239,5
2019-03-10,2019-03-16,0.22499942779540927,5
2019-03-17,2019-03-23,0.02499961853027166,5
2019-03-24,2019-03-30,0.10000038146972834,5
2019-03-31,2019-04-06,-0.050000190734866834,5
2019-04-07,2019-04-13,-0.375,5
2019-04-14,2019-04-20,-0.03333409627278409,3
2019-04-28,2019-05-04,-0.4250001907348615,5
2019-05-05,2019-05-11,-0.3500003814697248,5
2019-05-12,2019-05-18,0.0,5
2019-05-19,2019-05-25,0.07499980926513583,5
2019-05-26,2019-06-01,-0.29999971389770597,5
2019-06-02,2019-06-08,-0.07500028610229403,5
2019-06-09,2019-06-15,-0.09999990463256836,5
2019-06-16,2019-06-22,-0.05000019073486239,5
2019-06-23,2019-06-29,0.0,5
2019-06-30,2019-07-06,-0.125,5
2019-07-07,2019-07-13,0.0,5
2019-07-14,2019-07-20,-0.6499996185302752,5
2019-07-21,2019-07-27,0.40000009536743253,5
2019-07-28,2019-08-03,-0.02500009536743253,5
2019-08-04,2019-08-10,0.0,5
2019-08-11,2019-08-17,0.15000009536743253,5
2019-08-18,2019-08-24,0.025000095367429864,5
2019-08-25,2019-08-31,0.05000019073486239,5
2019-09-01,2019-09-07,-0.1999998092651376,5
2019-09-08,2019-09-14,0.0,5
2019-09-15,2019-09-21,-0.2666664123535168,4
2019-09-22,2019-09-28,0.1499996185302752,5
2019-09-29,2019-10-05,-0.8999996185302752,2
2019-10-06,2019-10-12,-0.19999980926513672,3
2019-10-13,2019-10-19,0.0,3
2019-10-20,2019-10-26,0.0,3
2019-10-27,2019-11-02,-0.1999998092651376,5
2019-11-03,2019-11-09,-0.20000028610229492,5
2019-11-10,2019-11-16,0.15000009536743253,5
2019-11-17,2019-11-23,0.0,5
2019-11-24,2019-11-30,-0.15000009536743164,5
2019-12-01,2019-12-07,0.0,5
2019-12-08,2019-12-14,-0.34999990463256925,5
2019-12-15,2019-12-21,0.02500009536743253,5
2019-12-22,2019-12-28,1.375,5
2019-12-29,2020-01-04,0.0,5
2020-01-05,2020-01-11,0.400000095367429,5
2020-01-12,2020-01-18,0.149999618530277,5
2020-01-19,2020-01-25,-0.050000190734861505,5
2020-01-26,2020-02-01,2.975000381469725,5
2020-02-02,2020-02-08,0.0,5
2020-02-09,2020-02-15,-0.4499998092651367,5
2020-02-16,2020-02-22,0.6499996185302734,5
2020-02-23,2020-02-29,0.35000038146972656,5
2020-03-01,2020-03-07,-1.0,4
2020-03-08,2020-03-14,-2.5000006357828775,4
2020-03-15,2020-03-21,0.25,5
2020-03-22,2020-03-28,0.3249998092651385,5
2020-03-29,2020-04-04,-0.0749998092651385,5
2020-04-05,2020-04-11,0.36666615804036223,3
2020-04-12,2020-04-18,-0.10000038146972656,3
2020-04-19,2020-04-25,-0.02500057220459162,5
2020-04-26,2020-05-02,0.8000011444091797,3
2020-05-03,2020-05-09,0.3249998092651367,5
2020-05-10,2020-05-16,0.0,5
2020-05-17,2020-05-23,0.5,2
2020-05-31,2020-06-06,-0.20000076293945312,2
2020-06-07,2020-06-13,0.0,4
2020-06-14,2020-06-20,0.4250001907348633,5
2020-06-21,2020-06-27,1.125,5
2020-06-28,2020-07-04,-0.7500000298023224,5
2020-07-05,2020-07-11,0.15000152587890625,1
2020-07-12,2020-07-18,-0.9000015258789062,1
2020-07-19,2020-07-25,-0.19999980926513672,5
