first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-5.7,5
2019-09-15,2019-09-21,-1.5,4
2019-09-22,2019-09-28,2.4,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,-7.5,3
2019-10-13,2019-10-19,3.5,3
2019-10-20,2019-10-26,-10.0,3
2019-10-27,2019-11-02,-6.6,5
2019-11-03,2019-11-09,-2.1,5
2019-11-10,2019-11-16,-2.7,5
2019-11-17,2019-11-23,-4.2,5
2019-11-24,2019-11-30,-0.3,5
2019-12-01,2019-12-07,-1.799798583984375,5
2019-12-08,2019-12-14,6.899798583984375,5
2019-12-15,2019-12-21,7.8,5
2019-12-22,2019-12-28,6.6,5
2019-12-29,2020-01-04,6.0,5
2020-01-05,2020-01-11,-3.3,5
2020-01-12,2020-01-18,3.9,5
2020-01-19,2020-01-25,3.3,5
2020-01-26,2020-02-01,-7.2,5
2020-02-02,2020-02-08,-2.4,5
2020-02-09,2020-02-15,0.3,5
2020-02-16,2020-02-22,-1.5,5
2020-02-23,2020-02-29,3.9,5
2020-03-01,2020-03-07,-6.0,4
2020-03-08,2020-03-14,-19.5,4
2020-03-15,2020-03-21,-19.499798583984376,5
2020-03-22,2020-03-28,-19.199998474121095,5
2020-03-29,2020-04-04,6.599998474121094,5
2020-04-05,2020-04-11,3.0,3
2020-04-12,2020-04-18,4.5,3
2020-04-19,2020-04-25,5.4,5
2020-04-26,2020-05-02,3.0,3
2020-05-03,2020-05-09,3.3,5
2020-05-10,2020-05-16,-4.2,5
2020-05-17,2020-05-23,4.5,5
2020-05-24,2020-05-30,0.75,4
2020-05-31,2020-06-06,21.599798583984374,5
2020-06-07,2020-06-13,13.5,4
2020-06-14,2020-06-20,4.8,5
2020-06-21,2020-06-27,-3.0,5
2020-06-28,2020-07-04,-4.5,5
2020-07-05,2020-07-11,1.2404052734375,5
2020-07-12,2020-07-18,-2.060003662109375,5
2020-07-19,2020-07-25,7.9,5
2020-07-26,2020-08-01,-6.6999969482421875,4
2020-08-02,2020-08-08,-8.34000244140625,5
2020-08-09,2020-08-15,8.94000244140625,5
2020-08-16,2020-08-22,45.620001220703124,5
2020-08-23,2020-08-29,-8.9,5
2020-08-30,2020-09-05,-12.080004882812478,5
