first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-12.4,5
2019-09-15,2019-09-21,4.5,4
2019-09-22,2019-09-28,27.6,5
2019-09-29,2019-10-05,18.0,2
2019-10-06,2019-10-12,6.666666666666667,3
2019-10-13,2019-10-19,-33.333333333333336,3
2019-10-20,2019-10-26,-18.0,3
2019-10-27,2019-11-02,18.0,5
2019-11-03,2019-11-09,-12.8,5
2019-11-10,2019-11-16,3.6,5
2019-11-17,2019-11-23,3.2,5
2019-11-24,2019-11-30,-2.0,5
2019-12-01,2019-12-07,-10.0,5
2019-12-08,2019-12-14,15.2,5
2019-12-15,2019-12-21,-4.4,5
2019-12-22,2019-12-28,6.4,5
2019-12-29,2020-01-04,-4.8,5
2020-01-05,2020-01-11,14.8,5
2020-01-12,2020-01-18,-7.6,5
2020-01-19,2020-01-25,13.2,5
2020-01-26,2020-02-01,-11.2,5
2020-02-02,2020-02-08,-1.6,5
2020-02-09,2020-02-15,-20.4,5
2020-02-16,2020-02-22,-11.6,5
2020-02-23,2020-02-29,-11.2,5
2020-03-01,2020-03-07,-11.0,4
2020-03-08,2020-03-14,-52.0,4
2020-03-15,2020-03-21,-1.2,5
2020-03-22,2020-03-28,14.0,5
2020-03-29,2020-04-04,27.2,5
2020-04-05,2020-04-11,-11.333333333333334,3
2020-04-12,2020-04-18,-16.800008138020832,3
2020-04-19,2020-04-25,-13.8199951171875,5
2020-04-26,2020-05-02,-2.5333353678385415,3
2020-05-03,2020-05-09,-2.639996337890625,5
2020-05-10,2020-05-16,2.739996337890625,5
2020-05-17,2020-05-23,2.820001220703125,5
2020-05-24,2020-05-30,7.425003051757784,4
2020-05-31,2020-06-06,-9.260003662109352,5
2020-06-07,2020-06-13,0.9000015258789062,4
2020-06-14,2020-06-20,-2.65999755859375,5
2020-06-21,2020-06-27,0.1,5
2020-06-28,2020-07-04,-13.480004882812489,5
2020-07-05,2020-07-11,-4.4,5
2020-07-12,2020-07-18,1.9400024414062387,5
2020-07-19,2020-07-25,-0.820001220703125,5
2020-07-26,2020-08-01,36.95000457763669,4
2020-08-02,2020-08-08,-16.540002441406227,5
2020-08-09,2020-08-15,-0.079998779296875,5
2020-08-16,2020-08-22,-3.4,5
2020-08-23,2020-08-29,-5.720001220703125,5
2020-08-30,2020-09-05,0.94000244140625,5
