first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-3.1500015258789062,5
2019-03-10,2019-03-16,1.8499984741210938,5
2019-03-17,2019-03-23,3.6999969482422017,5
2019-03-24,2019-03-30,5.900001525878906,5
2019-03-31,2019-04-06,3.9499969482421875,5
2019-04-07,2019-04-13,6.524993896484389,5
2019-04-14,2019-04-20,3.25,5
2019-04-21,2019-04-27,-0.5250015258789062,5
2019-04-28,2019-05-04,-3.5999984741210938,5
2019-05-05,2019-05-11,2.625,5
2019-05-12,2019-05-18,-2.0,5
2019-05-19,2019-05-25,2.8250045776367188,5
2019-05-26,2019-06-01,-0.9499969482421875,5
2019-06-02,2019-06-08,-4.224998474121094,5
2019-06-09,2019-06-15,-0.40000152587890625,5
2019-06-16,2019-06-22,2.3000030517578125,5
2019-06-23,2019-06-29,0.7249984741210938,5
2019-06-30,2019-07-06,1.9000015258789062,5
2019-07-07,2019-07-13,-5.0,5
2019-07-14,2019-07-20,3.3499984741210938,5
2019-07-21,2019-07-27,1.25,5
2019-07-28,2019-08-03,0.4250030517578125,5
2019-08-04,2019-08-10,0.22499847412109375,5
2019-08-11,2019-08-17,-0.02500152587890625,5
2019-08-18,2019-08-24,0.1999969482422017,5
2019-08-25,2019-08-31,1.3249969482422017,5
2019-09-01,2019-09-07,-5.625,5
2019-09-08,2019-09-14,-1.5749969482421875,5
2019-09-15,2019-09-21,0.0,4
2019-09-22,2019-09-28,1.25,5
2019-09-29,2019-10-05,-1.25,2
2019-10-06,2019-10-12,3.75,3
2019-10-13,2019-10-19,1.7333272298177083,3
2019-10-20,2019-10-26,3.7999979654948297,3
2019-10-27,2019-11-02,5.074996948242159,5
2019-11-03,2019-11-09,-1.375,5
2019-11-10,2019-11-16,0.25,5
2019-11-17,2019-11-23,7.92498779296875,5
2019-11-24,2019-11-30,4.100006103515625,5
2019-12-01,2019-12-07,0.875,5
2019-12-08,2019-12-14,7.6999969482421875,5
2019-12-15,2019-12-21,-1.3499908447265625,5
2019-12-22,2019-12-28,-0.8249969482421875,5
2019-12-29,2020-01-04,-1.9000091552734375,5
2020-01-05,2020-01-11,-6.4000091552734375,5
2020-01-12,2020-01-18,-4.25,5
2020-01-19,2020-01-25,-3.4000091552734375,5
2020-01-26,2020-02-01,-7.0749969482421875,5
2020-02-02,2020-02-08,-1.475006103515625,5
2020-02-09,2020-02-15,7.649993896484375,5
2020-02-16,2020-02-22,-2.350006103515625,5
2020-02-23,2020-02-29,-3.375,5
2020-03-01,2020-03-07,-4.533345540364583,4
2020-03-08,2020-03-14,-36.966654459635414,4
2020-03-15,2020-03-21,-14.474998474121108,5
2020-03-22,2020-03-28,8.724998474121108,5
2020-03-29,2020-04-04,6.574996948242202,5
2020-04-05,2020-04-11,0.6666666666666666,3
2020-04-12,2020-04-18,1.899993896484375,3
2020-04-19,2020-04-25,-8.449996948242202,5
2020-04-26,2020-05-02,13.0,3
2020-05-03,2020-05-09,-5.800003051757798,5
2020-05-10,2020-05-16,-3.6750030517577983,5
2020-05-17,2020-05-23,4.3249969482421875,5
2020-05-24,2020-05-30,2.3499984741210938,4
2020-05-31,2020-06-06,-1.6499938964843892,5
2020-06-07,2020-06-13,14.549995422363281,4
2020-06-14,2020-06-20,2.0999984741210938,5
2020-06-21,2020-06-27,-4.725006103515611,5
2020-06-28,2020-07-04,3.250002384185791,5
2020-07-05,2020-07-11,-4.300003051757798,5
2020-07-12,2020-07-18,0.5,5
2020-07-19,2020-07-25,1.8500061035156108,5
