first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.9600006103515626,5
2019-09-15,2019-09-21,0.0,4
2019-09-22,2019-09-28,-2.3000000000000056,5
2019-09-29,2019-10-05,0.34999847412110796,2
2019-10-06,2019-10-12,1.2000020345052083,3
2019-10-13,2019-10-19,0.1999969482421875,3
2019-10-20,2019-10-26,-0.2666676839192708,3
2019-10-27,2019-11-02,-1.45999755859375,5
2019-11-03,2019-11-09,-0.2800018310546818,5
2019-11-10,2019-11-16,-0.039999389648443184,5
2019-11-17,2019-11-23,-1.279998779296875,5
2019-11-24,2019-11-30,0.2,5
2019-12-01,2019-12-07,-0.9000015258789062,5
2019-12-08,2019-12-14,1.9599990844726562,5
2019-12-15,2019-12-21,-0.3199981689453182,5
2019-12-22,2019-12-28,0.8399993896484432,5
2019-12-29,2020-01-04,-0.079998779296875,5
2020-01-05,2020-01-11,0.03999938964843182,5
2020-01-12,2020-01-18,0.2600006103515682,5
2020-01-19,2020-01-25,-0.4,5
2020-01-26,2020-02-01,-0.520001220703125,5
2020-02-02,2020-02-08,1.5,5
2020-02-09,2020-02-15,-4.899993896484375,2
2020-02-16,2020-02-22,-0.3399993896484432,5
2020-02-23,2020-02-29,-2.3499984741210795,2
2020-03-01,2020-03-07,-230.0,4
2020-03-08,2020-03-14,-2879.5499992370605,4
2020-03-15,2020-03-21,-2.3560012817382785,5
2020-03-22,2020-03-28,0.8160003662109375,5
2020-03-29,2020-04-04,0.28000030517578123,5
2020-04-05,2020-04-11,1.6333338419596355,3
2020-04-12,2020-04-18,1.5999984741210984,3
2020-04-19,2020-04-25,-0.059999084472659094,5
2020-04-26,2020-05-02,2.5666656494140625,3
2020-05-03,2020-05-09,-0.5199996948242187,5
2020-05-10,2020-05-16,0.31999969482421875,5
2020-05-17,2020-05-23,1.1800003051757812,5
2020-05-24,2020-05-30,-1.3250007629394496,4
2020-05-31,2020-06-06,0.75,2
