first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-1.75,5
2019-03-10,2019-03-16,0.125,5
2019-03-17,2019-03-23,-1.0999984741210938,5
2019-03-24,2019-03-30,-1.5,5
2019-03-31,2019-04-06,1.8249969482421875,5
2019-04-07,2019-04-13,3.0,5
2019-04-14,2019-04-20,-2.75,5
2019-04-21,2019-04-27,0.9749984741210938,5
2019-04-28,2019-05-04,1.5999984741210938,5
2019-05-05,2019-05-11,-1.1750030517577983,5
2019-05-12,2019-05-18,1.4000015258789062,5
2019-05-19,2019-05-25,0.9749984741210938,5
2019-05-26,2019-06-01,-2.75,5
2019-06-02,2019-06-08,-0.27500152587890625,5
2019-06-09,2019-06-15,0.5,5
2019-06-16,2019-06-22,3.625,5
2019-06-23,2019-06-29,-0.47499847412109375,5
2019-06-30,2019-07-06,0.875,5
2019-07-07,2019-07-13,3.5250015258789062,5
2019-07-14,2019-07-20,-5.6750030517578125,5
2019-07-21,2019-07-27,3.0749969482422017,5
2019-07-28,2019-08-03,-8.324996948242202,5
2019-08-04,2019-08-10,-8.125,5
2019-08-11,2019-08-17,-3.0250015258789062,5
2019-08-18,2019-08-24,1.8000030517578125,5
2019-08-25,2019-08-31,2.6500015258789062,5
2019-09-01,2019-09-07,2.3499984741210938,5
2019-09-08,2019-09-14,0.8499984741210938,5
2019-09-15,2019-09-21,6.366668701171875,4
2019-09-22,2019-09-28,-2.4000015258789062,5
2019-09-29,2019-10-05,-8.449996948242188,2
2019-10-06,2019-10-12,1.0,3
2019-10-13,2019-10-19,5.066660563151042,3
2019-10-20,2019-10-26,-2.6666666666666665,3
2019-10-27,2019-11-02,-0.17499542236328125,5
2019-11-03,2019-11-09,-7.500000000000014,5
2019-11-10,2019-11-16,2.225006103515625,5
2019-11-17,2019-11-23,-1.0500030517578125,5
2019-11-24,2019-11-30,3.5749969482421875,5
2019-12-01,2019-12-07,-0.375,5
2019-12-08,2019-12-14,-0.8000030517578125,5
2019-12-15,2019-12-21,-4.75,5
2019-12-22,2019-12-28,-1.125,5
2019-12-29,2020-01-04,-2.25,5
2020-01-05,2020-01-11,-4.0749969482421875,5
2020-01-12,2020-01-18,0.9749984741210938,5
2020-01-19,2020-01-25,-0.375,5
2020-01-26,2020-02-01,-4.6999969482421875,5
2020-02-02,2020-02-08,-1.5,5
2020-02-09,2020-02-15,-0.0749969482421875,5
2020-02-16,2020-02-22,5.000000000000014,5
2020-02-23,2020-02-29,-4.125000000000007,5
2020-03-01,2020-03-07,-6.766662597656269,4
2020-03-08,2020-03-14,-24.600001017252605,4
2020-03-15,2020-03-21,5.400001525878906,5
2020-03-22,2020-03-28,-0.3250007629394531,5
2020-03-29,2020-04-04,1.4500007629394531,5
2020-04-05,2020-04-11,4.199996948242197,3
2020-04-12,2020-04-18,-5.099998474121108,3
2020-04-19,2020-04-25,-1.6500015258788991,5
2020-04-26,2020-05-02,5.949996948242202,3
2020-05-03,2020-05-09,-0.825000762939446,5
2020-05-10,2020-05-16,-7.450000762939453,5
2020-05-17,2020-05-23,1.4249992370605469,5
2020-05-24,2020-05-30,-2.875,4
2020-05-31,2020-06-06,-1.0750007629394531,5
2020-06-07,2020-06-13,-0.125,4
2020-06-14,2020-06-20,1.5750007629394531,5
2020-06-21,2020-06-27,-4.224998474121101,5
2020-06-28,2020-07-04,3.2249993085861206,5
2020-07-05,2020-07-11,-0.8250007629394531,5
2020-07-12,2020-07-18,0.6750030517578125,5
2020-07-19,2020-07-25,5.299999237060547,5
