first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,0.7749996185302734,5
2019-03-10,2019-03-16,0.17500019073486328,5
2019-03-17,2019-03-23,0.4250001907348633,5
2019-03-24,2019-03-30,-0.375,5
2019-03-31,2019-04-06,-2.8000001907348633,5
2019-04-07,2019-04-13,-0.10000038146972479,5
2019-04-14,2019-04-20,0.25,5
2019-04-21,2019-04-27,0.0750007629394549,5
2019-04-28,2019-05-04,-0.27499961853027344,5
2019-05-05,2019-05-11,0.07499980926513672,5
2019-05-12,2019-05-18,-0.5999999046325701,5
2019-05-19,2019-05-25,-0.7249999046325701,5
2019-05-26,2019-06-01,-0.9749999046325701,5
2019-06-02,2019-06-08,-0.875,5
2019-06-09,2019-06-15,-0.5250000953674316,5
2019-06-16,2019-06-22,-0.15000009536743164,5
2019-06-23,2019-06-29,0.8500003814697248,5
2019-06-30,2019-07-06,0.0,5
2019-07-07,2019-07-13,-2.09999990463257,5
2019-07-14,2019-07-20,-0.5,5
2019-07-21,2019-07-27,0.1750001907348624,5
2019-07-28,2019-08-03,-0.5500001907348624,5
2019-08-04,2019-08-10,0.27500009536743253,5
2019-08-11,2019-08-17,0.17499971389770508,5
2019-08-18,2019-08-24,0.02500009536743164,5
2019-08-25,2019-08-31,-1.4499998092651367,5
2019-09-01,2019-09-07,-0.02500009536743164,5
2019-09-08,2019-09-14,0.0749998092651376,5
2019-09-15,2019-09-21,-0.13333384195963305,4
2019-09-22,2019-09-28,-0.125,5
2019-09-29,2019-10-05,-0.6000003814697266,2
2019-10-06,2019-10-12,0.4499998092651367,3
2019-10-13,2019-10-19,-0.4333330790201823,3
2019-10-20,2019-10-26,0.4666665395100911,3
2019-10-27,2019-11-02,-0.07499980926513672,5
2019-11-03,2019-11-09,0.40000009536743164,5
2019-11-10,2019-11-16,-0.5249996185302734,5
2019-11-17,2019-11-23,0.07500028610229492,5
2019-11-24,2019-11-30,-0.3000001907348633,5
2019-12-01,2019-12-07,-0.07499980926513672,5
2019-12-08,2019-12-14,0.0,5
2019-12-15,2019-12-21,0.15000009536743164,5
2019-12-22,2019-12-28,0.27500009536743164,5
2019-12-29,2020-01-04,-0.34999990463256836,5
2020-01-05,2020-01-11,0.02500009536743164,5
2020-01-12,2020-01-18,-0.20000028610229492,5
2020-01-19,2020-01-25,-0.125,5
2020-01-26,2020-02-01,-0.7749998569488521,5
2020-02-02,2020-02-08,-1.25,5
2020-02-09,2020-02-15,0.2749999761581423,5
2020-02-16,2020-02-22,0.024999976158142312,5
2020-02-23,2020-02-29,-0.2999999523162844,5
2020-03-01,2020-03-07,-0.0666666030883792,4
2020-03-08,2020-03-14,-0.6333332856496173,4
2020-03-15,2020-03-21,-0.40000003576278687,5
2020-03-22,2020-03-28,0.45000001788139343,5
2020-03-29,2020-04-04,0.050000011920929066,5
2020-04-05,2020-04-11,0.16666666666666652,3
2020-04-12,2020-04-18,0.15000009536743164,3
2020-04-19,2020-04-25,-0.17500007152557373,5
2020-04-26,2020-05-02,0.25,3
2020-05-03,2020-05-09,-0.02499997615814209,5
2020-05-10,2020-05-16,-0.12500005960464478,5
2020-05-17,2020-05-23,-0.07500004768371582,5
2020-05-24,2020-05-30,-0.1499999761581421,4
2020-05-31,2020-06-06,0.09999996423721313,5
2020-06-07,2020-06-13,-0.09999996423721313,4
2020-06-14,2020-06-20,0.07500004768371582,5
2020-06-21,2020-06-27,-0.07500004768371582,5
2020-06-28,2020-07-04,-0.6249999897554517,5
2020-07-05,2020-07-11,-0.07499998807907104,5
2020-07-12,2020-07-18,0.02499997615814209,5
2020-07-19,2020-07-25,-0.025000035762786865,5
