first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,2.850006103515625,5
2019-03-10,2019-03-16,10.225006103515625,5
2019-03-17,2019-03-23,3.25,5
2019-03-24,2019-03-30,-15.375,5
2019-03-31,2019-04-06,10.0,5
2019-04-07,2019-04-13,4.5749969482421875,5
2019-04-14,2019-04-20,-4.42498779296875,5
2019-04-21,2019-04-27,-4.9499969482421875,5
2019-04-28,2019-05-04,-12.574996948242188,5
2019-05-05,2019-05-11,0.4250030517578125,5
2019-05-12,2019-05-18,-9.550003051757812,5
2019-05-19,2019-05-25,-8.625,5
2019-05-26,2019-06-01,-3.17498779296875,5
2019-06-02,2019-06-08,4.475006103515625,5
2019-06-09,2019-06-15,-1.399993896484375,5
2019-06-16,2019-06-22,0.024993896484375,5
2019-06-23,2019-06-29,3.899993896484375,5
2019-06-30,2019-07-06,2.375,5
2019-07-07,2019-07-13,-9.625,5
2019-07-14,2019-07-20,-10.125,5
2019-07-21,2019-07-27,6.3249969482421875,5
2019-07-28,2019-08-03,-9.274993896484375,5
2019-08-04,2019-08-10,11.324996948242188,5
2019-08-11,2019-08-17,-31.574996948242188,5
2019-08-18,2019-08-24,0.625,5
2019-08-25,2019-08-31,-2.0999908447265625,5
2019-09-01,2019-09-07,14.399993896484375,5
2019-09-08,2019-09-14,3.5,5
2019-09-15,2019-09-21,-3.5333251953125,4
2019-09-22,2019-09-28,4.07501220703125,5
2019-09-29,2019-10-05,36.54998779296875,2
2019-10-06,2019-10-12,-5.0,3
2019-10-13,2019-10-19,3.6666666666666665,3
2019-10-20,2019-10-26,-7.333333333333333,3
2019-10-27,2019-11-02,-8.199996948242188,5
2019-11-03,2019-11-09,-11.0,5
2019-11-10,2019-11-16,1.6999969482421875,5
2019-11-17,2019-11-23,0.1750030517578125,5
2019-11-24,2019-11-30,-6.600006103515625,5
2019-12-01,2019-12-07,-15.875,5
2019-12-08,2019-12-14,8.475006103515625,5
2019-12-15,2019-12-21,-6.774993896484375,5
2019-12-22,2019-12-28,-8.949996948242159,5
2019-12-29,2020-01-04,6.425003051757841,5
2020-01-05,2020-01-11,14.274993896484375,5
2020-01-12,2020-01-18,11.699996948242188,5
2020-01-19,2020-01-25,4.399993896484375,5
2020-01-26,2020-02-01,-3.975006103515625,5
2020-02-02,2020-02-08,-3.625,5
2020-02-09,2020-02-15,17.899993896484375,5
2020-02-16,2020-02-22,-9.79998779296875,5
2020-02-23,2020-02-29,-1.9499969482421875,5
2020-03-01,2020-03-07,-6.066670735677083,4
2020-03-08,2020-03-14,-23.700002034505207,4
2020-03-15,2020-03-21,-22.849998474121094,5
2020-03-22,2020-03-28,27.87499999999997,5
2020-03-29,2020-04-04,0.05000305175778408,5
2020-04-05,2020-04-11,0.16666666666666666,3
2020-04-12,2020-04-18,3.29998779296875,3
2020-04-19,2020-04-25,-2.399993896484375,5
2020-04-26,2020-05-02,3.20001220703125,3
2020-05-03,2020-05-09,-2.4499969482421875,5
2020-05-10,2020-05-16,5.449996948242216,5
2020-05-17,2020-05-23,-3.1750030517578125,5
2020-05-24,2020-05-30,5.0,4
2020-05-31,2020-06-06,-1.3249969482421875,5
2020-06-07,2020-06-13,-0.899993896484375,4
2020-06-14,2020-06-20,-1.149993896484375,5
2020-06-21,2020-06-27,2.3249969482421875,5
2020-06-28,2020-07-04,7.675010681152344,5
2020-07-05,2020-07-11,3.899993896484375,5
2020-07-12,2020-07-18,11.550003051757812,5
2020-07-19,2020-07-25,-4.225006103515625,5
