first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-1.120001220703125,5
2019-09-15,2019-09-21,0.8500022888183594,4
2019-09-22,2019-09-28,0.179998779296875,5
2019-09-29,2019-10-05,0.6999969482421875,2
2019-10-06,2019-10-12,4.00000000000001,3
2019-10-13,2019-10-19,5.566670735677064,3
2019-10-20,2019-10-26,-2.5,3
2019-10-27,2019-11-02,-0.3200012207031193,5
2019-11-03,2019-11-09,1.1,5
2019-11-10,2019-11-16,0.9399993896484375,5
2019-11-17,2019-11-23,2.9600006103515626,5
2019-11-24,2019-11-30,2.379998779296881,5
2019-12-01,2019-12-07,-1.3799987792968806,5
2019-12-08,2019-12-14,2.120001220703119,5
2019-12-15,2019-12-21,-1.3400024414062386,5
2019-12-22,2019-12-28,1.5,5
2019-12-29,2020-01-04,-0.4799987792968807,5
2020-01-05,2020-01-11,-0.0399993896484375,5
2020-01-12,2020-01-18,3.0199981689453184,5
2020-01-19,2020-01-25,0.8,5
2020-01-26,2020-02-01,-1.9799987792968807,5
2020-02-02,2020-02-08,0.3799987792968807,5
2020-02-09,2020-02-15,-0.07999877929688068,5
2020-02-16,2020-02-22,0.8399993896484375,5
2020-02-23,2020-02-29,-4.019998168945318,5
2020-03-01,2020-03-07,-1.9000015258788991,4
2020-03-08,2020-03-14,-13.25,4
2020-03-15,2020-03-21,-4.020001220703125,5
2020-03-22,2020-03-28,-1.479998779296875,5
2020-03-29,2020-04-04,2.9,5
2020-04-05,2020-04-11,4.799997965494792,3
2020-04-12,2020-04-18,0.20000203450520834,3
2020-04-19,2020-04-25,-2.1,5
2020-04-26,2020-05-02,5.133331298828125,3
2020-05-03,2020-05-09,-0.1199981689453125,5
2020-05-10,2020-05-16,-6.1,5
2020-05-17,2020-05-23,3.5,5
2020-05-24,2020-05-30,0.4249992370605469,4
2020-05-31,2020-06-06,0.3,5
2020-06-07,2020-06-13,-2.549999237060547,4
2020-06-14,2020-06-20,-0.720001220703125,5
2020-06-21,2020-06-27,-0.7,5
2020-06-28,2020-07-04,1.8600006103515625,5
2020-07-05,2020-07-11,-2.379998779296875,5
2020-07-12,2020-07-18,0.979998779296875,5
2020-07-19,2020-07-25,-1.279998779296875,5
2020-07-26,2020-08-01,-0.5250015258789062,4
2020-08-02,2020-08-08,0.7399993896484375,5
2020-08-09,2020-08-15,0.8,5
2020-08-16,2020-08-22,3.3,5
2020-08-23,2020-08-29,1.8600006103515625,5
2020-08-30,2020-09-05,0.0399993896484375,5
