first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,4.1800048828125,5
2019-09-15,2019-09-21,-2.925003051757841,4
2019-09-22,2019-09-28,-1.080004882812466,5
2019-09-29,2019-10-05,-8.75,2
2019-10-06,2019-10-12,9.533345540364564,3
2019-10-13,2019-10-19,9.199991861979166,3
2019-10-20,2019-10-26,0.7666625976562879,3
2019-10-27,2019-11-02,6.220007324218727,5
2019-11-03,2019-11-09,7.15999755859375,5
2019-11-10,2019-11-16,-3.44000244140625,5
2019-11-17,2019-11-23,2.8199951171875,5
2019-11-24,2019-11-30,-4.3,5
2019-12-01,2019-12-07,2.24000244140625,5
2019-12-08,2019-12-14,2.12000732421875,5
2019-12-15,2019-12-21,0.6,5
2019-12-22,2019-12-28,1.67999267578125,5
2019-12-29,2020-01-04,6.74000244140625,5
2020-01-05,2020-01-11,34.74000244140625,5
2020-01-12,2020-01-18,16.040002441406227,5
2020-01-19,2020-01-25,1.3799926757812728,5
2020-01-26,2020-02-01,-18.15999755859375,5
2020-02-02,2020-02-08,16.8,5
2020-02-09,2020-02-15,22.2,5
2020-02-16,2020-02-22,17.6,5
2020-02-23,2020-02-29,-38.9,5
2020-03-01,2020-03-07,-28.125,4
2020-03-08,2020-03-14,-75.875,4
2020-03-15,2020-03-21,-13.35999755859375,5
2020-03-22,2020-03-28,14.4,5
2020-03-29,2020-04-04,22.65999755859375,5
2020-04-05,2020-04-11,38.333333333333336,3
2020-04-12,2020-04-18,-5.0,3
2020-04-19,2020-04-25,17.0,5
2020-04-26,2020-05-02,25.400004069010418,3
2020-05-03,2020-05-09,-4.04000244140625,5
2020-05-10,2020-05-16,-15.5800048828125,5
2020-05-17,2020-05-23,18.42000732421875,5
2020-05-24,2020-05-30,-0.475006103515625,4
2020-05-31,2020-06-06,9.4,5
2020-06-07,2020-06-13,20.925003051757812,4
2020-06-14,2020-06-20,11.2,5
2020-06-21,2020-06-27,-8.4,5
2020-06-28,2020-07-04,-3.6,5
2020-07-05,2020-07-11,-3.75999755859375,5
2020-07-12,2020-07-18,-6.24000244140625,5
2020-07-19,2020-07-25,14.6,5
2020-07-26,2020-08-01,9.0,4
2020-08-02,2020-08-08,-209.47000007629396,5
2020-08-09,2020-08-15,0.11400012969970667,5
2020-08-16,2020-08-22,0.2279998779296875,5
2020-08-23,2020-08-29,-0.3420000076293942,5
2020-08-30,2020-09-05,-0.3,5
