first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,22.15999755859375,5
2019-09-15,2019-09-21,6.20001220703125,4
2019-09-22,2019-09-28,-3.6,5
2019-09-29,2019-10-05,-31.100006103515625,2
2019-10-06,2019-10-12,24.066670735677082,3
2019-10-13,2019-10-19,12.433329264322916,3
2019-10-20,2019-10-26,6.26666259765625,3
2019-10-27,2019-11-02,-1.6800048828124772,5
2019-11-03,2019-11-09,4.7,5
2019-11-10,2019-11-16,-6.559997558593773,5
2019-11-17,2019-11-23,7.120007324218728,5
2019-11-24,2019-11-30,-1.1200073242187272,5
2019-12-01,2019-12-07,-2.2,5
2019-12-08,2019-12-14,-0.14000244140622725,5
2019-12-15,2019-12-21,-2.359997558593773,5
2019-12-22,2019-12-28,-3.6199951171875,5
2019-12-29,2020-01-04,10.379992675781272,5
2020-01-05,2020-01-11,-4.119995117187523,5
2020-01-12,2020-01-18,21.8,5
2020-01-19,2020-01-25,-1.4,5
2020-01-26,2020-02-01,13.4,5
2020-02-02,2020-02-08,18.0,5
2020-02-09,2020-02-15,1.6,5
2020-02-16,2020-02-22,1.4,5
2020-02-23,2020-02-29,-17.6,5
2020-03-01,2020-03-07,-14.25,4
2020-03-08,2020-03-14,-84.67500305175781,4
2020-03-15,2020-03-21,-38.57999267578125,5
2020-03-22,2020-03-28,7.7199951171875,5
2020-03-29,2020-04-04,15.0800048828125,5
2020-04-05,2020-04-11,-7.400004069010417,3
2020-04-12,2020-04-18,8.79998779296875,3
2020-04-19,2020-04-25,10.9800048828125,5
2020-04-26,2020-05-02,-0.4000040690104167,3
2020-05-03,2020-05-09,-4.57999267578125,5
2020-05-10,2020-05-16,-8.92000732421875,5
2020-05-17,2020-05-23,-0.75999755859375,5
2020-05-24,2020-05-30,-6.8000030517578125,4
2020-05-31,2020-06-06,-8.35999755859375,5
2020-06-07,2020-06-13,-8.899993896484375,4
2020-06-14,2020-06-20,-6.34000244140625,5
2020-06-21,2020-06-27,-10.520001220703126,5
2020-06-28,2020-07-04,-0.36000366210936363,5
2020-07-05,2020-07-11,-7.239996337890636,5
2020-07-12,2020-07-18,12.95999755859375,5
2020-07-19,2020-07-25,-3.939996337890625,5
2020-07-26,2020-08-01,5.6999969482421875,4
2020-08-02,2020-08-08,0.4,5
2020-08-09,2020-08-15,6.1199951171875,5
2020-08-16,2020-08-22,-2.67999267578125,5
2020-08-23,2020-08-29,18.15999755859375,5
2020-08-30,2020-09-05,-15.8,5
