first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-45.2,5
2019-09-15,2019-09-21,49.75,4
2019-09-22,2019-09-28,18.4,5
2019-09-29,2019-10-05,-55.0,2
2019-10-06,2019-10-12,16.333333333333332,3
2019-10-13,2019-10-19,33.333333333333336,3
2019-10-20,2019-10-26,-33.333333333333336,3
2019-10-27,2019-11-02,30.0,5
2019-11-03,2019-11-09,14.2,5
2019-11-10,2019-11-16,17.2,5
2019-11-17,2019-11-23,110.6,5
2019-11-24,2019-11-30,-6.8,5
2019-12-01,2019-12-07,-5.2,5
2019-12-08,2019-12-14,71.8,5
2019-12-15,2019-12-21,-18.0,5
2019-12-22,2019-12-28,2.6,5
2019-12-29,2020-01-04,3.6,5
2020-01-05,2020-01-11,16.8,5
2020-01-12,2020-01-18,157.2,5
2020-01-19,2020-01-25,46.0,5
2020-01-26,2020-02-01,-108.4,5
2020-02-02,2020-02-08,156.4,5
2020-02-09,2020-02-15,109.4,5
2020-02-16,2020-02-22,34.6,5
2020-02-23,2020-02-29,-268.2,5
2020-03-01,2020-03-07,-187.5,4
2020-03-08,2020-03-14,-756.75,4
2020-03-15,2020-03-21,-241.8,5
2020-03-22,2020-03-28,87.0,5
2020-03-29,2020-04-04,59.4,5
2020-04-05,2020-04-11,203.66666666666666,3
2020-04-12,2020-04-18,-79.33333333333333,3
2020-04-19,2020-04-25,-61.2,5
2020-04-26,2020-05-02,189.33333333333334,3
2020-05-03,2020-05-09,-135.0,5
2020-05-10,2020-05-16,-136.2,5
2020-05-17,2020-05-23,2.4,5
2020-05-24,2020-05-30,86.0,4
2020-05-31,2020-06-06,-141.8,5
2020-06-07,2020-06-13,-102.0,4
2020-06-14,2020-06-20,-34.8,5
2020-06-21,2020-06-27,-19.6,5
2020-06-28,2020-07-04,-71.2,5
2020-07-05,2020-07-11,-42.8,5
2020-07-12,2020-07-18,16.8,5
2020-07-19,2020-07-25,-43.6,5
2020-07-26,2020-08-01,-68.25,4
2020-08-02,2020-08-08,108.0,5
2020-08-09,2020-08-15,38.0,5
2020-08-16,2020-08-22,-26.4,5
2020-08-23,2020-08-29,47.6,5
2020-08-30,2020-09-05,-68.6,5
