first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,160.0,5
2019-09-15,2019-09-21,-15.0,4
2019-09-22,2019-09-28,20.0,5
2019-09-29,2019-10-05,-275.0,2
2019-10-06,2019-10-12,220.0,3
2019-10-13,2019-10-19,83.33333333333333,3
2019-10-20,2019-10-26,126.66666666666667,3
2019-10-27,2019-11-02,-30.0,5
2019-11-03,2019-11-09,126.0,5
2019-11-10,2019-11-16,66.0,5
2019-11-17,2019-11-23,-144.0,5
2019-11-24,2019-11-30,40.0,5
2019-12-01,2019-12-07,10.0,5
2019-12-08,2019-12-14,126.0,5
2019-12-15,2019-12-21,-2.0,5
2019-12-22,2019-12-28,48.0,5
2019-12-29,2020-01-04,12.0,5
2020-01-05,2020-01-11,-4.0,5
2020-01-12,2020-01-18,162.0,5
2020-01-19,2020-01-25,14.0,5
2020-01-26,2020-02-01,-144.0,5
2020-02-02,2020-02-08,134.0,5
2020-02-09,2020-02-15,-40.0,5
2020-02-16,2020-02-22,-118.0,5
2020-02-23,2020-02-29,-212.0,5
2020-03-01,2020-03-07,85.0,4
2020-03-08,2020-03-14,-272.5,4
2020-03-15,2020-03-21,-250.0,5
2020-03-22,2020-03-28,360.0,5
2020-03-29,2020-04-04,-16.0,5
2020-04-05,2020-04-11,246.66666666666666,3
2020-04-12,2020-04-18,120.0,3
2020-04-19,2020-04-25,130.0,5
2020-04-26,2020-05-02,90.0,3
2020-05-03,2020-05-09,-6.0,5
2020-05-10,2020-05-16,76.0,5
2020-05-17,2020-05-23,402.0,5
2020-05-24,2020-05-30,215.0,4
2020-05-31,2020-06-06,-84.0,5
2020-06-07,2020-06-13,22.5,4
2020-06-14,2020-06-20,70.0,5
2020-06-21,2020-06-27,-186.0,5
2020-06-28,2020-07-04,128.0,5
2020-07-05,2020-07-11,2.0,5
2020-07-12,2020-07-18,-92.0,5
2020-07-19,2020-07-25,144.0,5
2020-07-26,2020-08-01,-20.0,4
2020-08-02,2020-08-08,418.0,5
2020-08-09,2020-08-15,-122.0,5
2020-08-16,2020-08-22,6.0,5
2020-08-23,2020-08-29,-98.0,5
2020-08-30,2020-09-05,-152.0,5
