first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,62.0,5
2019-09-15,2019-09-21,202.5,4
2019-09-22,2019-09-28,86.0,5
2019-09-29,2019-10-05,-705.0,2
2019-10-06,2019-10-12,226.66666666666666,3
2019-10-13,2019-10-19,-6.666666666666667,3
2019-10-20,2019-10-26,200.0,3
2019-10-27,2019-11-02,120.0,5
2019-11-03,2019-11-09,-72.0,5
2019-11-10,2019-11-16,-128.0,5
2019-11-17,2019-11-23,304.0,5
2019-11-24,2019-11-30,-120.0,5
2019-12-01,2019-12-07,72.0,5
2019-12-08,2019-12-14,194.0,5
2019-12-15,2019-12-21,66.0,5
2019-12-22,2019-12-28,-48.0,5
2019-12-29,2020-01-04,84.0,5
2020-01-05,2020-01-11,10.0,5
2020-01-12,2020-01-18,182.0,5
2020-01-19,2020-01-25,-2.0,5
2020-01-26,2020-02-01,-118.0,5
2020-02-02,2020-02-08,-190.0,5
2020-02-09,2020-02-15,-6.0,5
2020-02-16,2020-02-22,-102.0,5
2020-02-23,2020-02-29,-482.0,5
2020-03-01,2020-03-07,-575.0,4
2020-03-08,2020-03-14,-562.5,4
2020-03-15,2020-03-21,120.0,5
2020-03-22,2020-03-28,634.0,5
2020-03-29,2020-04-04,96.0,5
2020-04-05,2020-04-11,566.6666666666666,3
2020-04-12,2020-04-18,-133.33333333333334,3
2020-04-19,2020-04-25,-72.0,5
2020-04-26,2020-05-02,750.0,3
2020-05-03,2020-05-09,-120.0,5
2020-05-10,2020-05-16,-42.0,5
2020-05-17,2020-05-23,286.0,5
2020-05-24,2020-05-30,-302.5,4
2020-05-31,2020-06-06,154.0,5
2020-06-07,2020-06-13,147.5,4
2020-06-14,2020-06-20,388.0,5
2020-06-21,2020-06-27,-362.0,5
2020-06-28,2020-07-04,-144.0,5
2020-07-05,2020-07-11,-574.0,5
2020-07-12,2020-07-18,696.0,5
2020-07-19,2020-07-25,112.0,5
2020-07-26,2020-08-01,-397.5,4
2020-08-02,2020-08-08,112.0,5
2020-08-09,2020-08-15,286.0,5
2020-08-16,2020-08-22,-192.0,5
2020-08-23,2020-08-29,348.0,5
2020-08-30,2020-09-05,-224.0,5
