first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.879998779296875,5
2019-09-15,2019-09-21,0.40000152587890625,4
2019-09-22,2019-09-28,-1.8,5
2019-09-29,2019-10-05,-1.3000030517578125,2
2019-10-06,2019-10-12,0.7000020345052084,3
2019-10-13,2019-10-19,0.8333333333333334,3
2019-10-20,2019-10-26,2.6666666666666665,3
2019-10-27,2019-11-02,1.579998779296875,5
2019-11-03,2019-11-09,0.720001220703125,5
2019-11-10,2019-11-16,0.920001220703125,5
2019-11-17,2019-11-23,2.579998779296875,5
2019-11-24,2019-11-30,0.520001220703125,5
2019-12-01,2019-12-07,1.1399963378906364,5
2019-12-08,2019-12-14,-2.0199951171875115,5
2019-12-15,2019-12-21,3.339996337890625,5
2019-12-22,2019-12-28,1.520001220703125,5
2019-12-29,2020-01-04,4.9,5
2020-01-05,2020-01-11,9.0,5
2020-01-12,2020-01-18,-0.9400024414062387,5
2020-01-19,2020-01-25,-0.23999633789063637,5
2020-01-26,2020-02-01,-3.420001220703125,5
2020-02-02,2020-02-08,-2.1400024414062386,5
2020-02-09,2020-02-15,2.4400024414062385,5
2020-02-16,2020-02-22,5.379998779296875,5
2020-02-23,2020-02-29,-2.8,5
2020-03-01,2020-03-07,-21.25,4
2020-03-08,2020-03-14,-30.499999999999993,4
2020-03-15,2020-03-21,-13.87999877929688,5
2020-03-22,2020-03-28,10.960000610351562,5
2020-03-29,2020-04-04,6.119998168945324,5
2020-04-05,2020-04-11,2.266672770182273,3
2020-04-12,2020-04-18,-0.2666727701822727,3
2020-04-19,2020-04-25,1.6600036621093637,5
2020-04-26,2020-05-02,6.066660563151042,3
2020-05-03,2020-05-09,5.379998779296875,5
2020-05-10,2020-05-16,-7.7199951171875,5
2020-05-17,2020-05-23,-0.2,5
2020-05-24,2020-05-30,-2.25,4
2020-05-31,2020-06-06,0.45999755859375,5
2020-06-07,2020-06-13,1.3249969482421875,4
2020-06-14,2020-06-20,-5.15999755859375,5
2020-06-21,2020-06-27,-3.5200012207031195,5
2020-06-28,2020-07-04,-4.1,5
2020-07-05,2020-07-11,-1.5799987792968806,5
2020-07-12,2020-07-18,1.1799987792968807,5
2020-07-19,2020-07-25,1.9600006103515568,5
2020-07-26,2020-08-01,0.9750022888183523,4
2020-08-02,2020-08-08,-1.1200012207031194,5
2020-08-09,2020-08-15,6.820001220703119,5
2020-08-16,2020-08-22,-0.16000061035155683,5
2020-08-23,2020-08-29,3.0999969482421874,5
2020-08-30,2020-09-05,-7.05999755859375,5
