first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,106.0,5
2019-09-15,2019-09-21,40.0,4
2019-09-22,2019-09-28,118.0,5
2019-09-29,2019-10-05,-340.0,2
2019-10-06,2019-10-12,133.33333333333334,3
2019-10-13,2019-10-19,96.66666666666667,3
2019-10-20,2019-10-26,233.33333333333334,3
2019-10-27,2019-11-02,26.0,5
2019-11-03,2019-11-09,-40.0,5
2019-11-10,2019-11-16,-36.0,5
2019-11-17,2019-11-23,-96.0,5
2019-11-24,2019-11-30,82.0,5
2019-12-01,2019-12-07,-48.0,5
2019-12-08,2019-12-14,14.0,5
2019-12-15,2019-12-21,-126.0,5
2019-12-22,2019-12-28,-42.0,5
2019-12-29,2020-01-04,-10.0,5
2020-01-05,2020-01-11,84.0,5
2020-01-12,2020-01-18,170.0,5
2020-01-19,2020-01-25,262.0,5
2020-01-26,2020-02-01,-124.0,5
2020-02-02,2020-02-08,392.0,5
2020-02-09,2020-02-15,-110.0,5
2020-02-16,2020-02-22,88.0,5
2020-02-23,2020-02-29,-980.0,5
2020-03-01,2020-03-07,87.5,4
2020-03-08,2020-03-14,-902.5,4
2020-03-15,2020-03-21,662.0,5
2020-03-22,2020-03-28,-118.0,5
2020-03-29,2020-04-04,-34.0,5
2020-04-05,2020-04-11,-263.3333333333333,3
2020-04-12,2020-04-18,-576.6666666666666,3
2020-04-19,2020-04-25,-40.0,5
2020-04-26,2020-05-02,473.3333333333333,3
2020-05-03,2020-05-09,-112.0,5
2020-05-10,2020-05-16,90.0,5
2020-05-17,2020-05-23,400.0,5
2020-05-24,2020-05-30,0.0,4
2020-05-31,2020-06-06,62.0,5
2020-06-07,2020-06-13,-190.0,4
2020-06-14,2020-06-20,-52.0,5
2020-06-21,2020-06-27,-546.0,5
2020-06-28,2020-07-04,128.0,5
2020-07-05,2020-07-11,24.0,5
2020-07-12,2020-07-18,-22.0,5
2020-07-19,2020-07-25,-34.0,5
2020-07-26,2020-08-01,-90.0,4
2020-08-02,2020-08-08,-148.0,5
2020-08-09,2020-08-15,322.0,5
2020-08-16,2020-08-22,-236.0,5
2020-08-23,2020-08-29,34.0,5
2020-08-30,2020-09-05,-232.0,5
