first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,1.5828266143798828,5
2019-03-17,2019-03-23,-0.6817512512207031,5
2019-03-24,2019-03-30,-1.1202507019042969,5
2019-03-31,2019-04-06,-4.139850616455078,5
2019-04-07,2019-04-13,-0.5601253509521484,5
2019-04-14,2019-04-20,-0.5844745635986328,5
2019-04-21,2019-04-27,-0.19482421875,5
2019-04-28,2019-05-04,-0.8767261505126953,5
2019-05-05,2019-05-11,0.6087989807128906,5
2019-05-12,2019-05-18,-0.09740066528320312,5
2019-05-19,2019-05-25,-1.5585746765136719,5
2019-05-26,2019-06-01,1.4124755859375,5
2019-06-02,2019-06-08,-0.04870033264160156,5
2019-06-09,2019-06-15,0.8523502349853516,5
2019-06-16,2019-06-22,0.48705101013183594,5
2019-06-23,2019-06-29,-0.09740066528320312,5
2019-06-30,2019-07-06,-1.5342235565185547,5
2019-07-07,2019-07-13,-0.04870033264160156,5
2019-07-14,2019-07-20,-1.1202259063720703,5
2019-07-21,2019-07-27,-3.2145996093749982,5
2019-07-28,2019-08-03,0.6318254470825195,5
2019-08-04,2019-08-10,0.3249998092651385,5
2019-08-11,2019-08-17,-1.9750003814697266,5
2019-08-18,2019-08-24,0.35000038146972656,5
2019-08-25,2019-08-31,-0.625,5
2019-09-01,2019-09-07,0.07499980926513672,5
2019-09-08,2019-09-14,0.4250001907348633,5
2019-09-15,2019-09-21,-0.2666664123535156,4
2019-09-22,2019-09-28,0.25,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,0.0,3
2019-10-13,2019-10-19,-0.3333333333333333,3
2019-10-20,2019-10-26,0.43333307902018464,3
2019-10-27,2019-11-02,-0.47500038146972656,5
2019-11-03,2019-11-09,-0.8999996185302752,5
2019-11-10,2019-11-16,0.17500019073486328,5
2019-11-17,2019-11-23,0.07499980926513672,5
2019-11-24,2019-11-30,-0.375,5
2019-12-01,2019-12-07,-0.024999618530273438,5
2019-12-08,2019-12-14,0.25,5
2019-12-15,2019-12-21,0.5249996185302734,5
2019-12-22,2019-12-28,-0.3000001907348633,5
2019-12-29,2020-01-04,0.7749996185302752,5
2020-01-05,2020-01-11,0.7250003814697266,5
2020-01-12,2020-01-18,-0.05000019073486328,5
2020-01-19,2020-01-25,-0.25,5
2020-01-26,2020-02-01,-1.2250003814697266,5
2020-02-02,2020-02-08,-0.05000019073486328,5
2020-02-09,2020-02-15,0.19999980926513672,5
2020-02-16,2020-02-22,-0.3000001907348633,5
2020-02-23,2020-02-29,0.05000019073486328,5
2020-03-01,2020-03-07,-0.03333282470703125,4
2020-03-08,2020-03-14,-2.1666666666666665,4
2020-03-15,2020-03-21,-0.3500003814697248,5
2020-03-22,2020-03-28,1.5,5
2020-03-29,2020-04-04,-0.6499996185302752,5
2020-04-05,2020-04-11,0.36666615804036695,3
2020-04-12,2020-04-18,-1.0500011444091797,3
2020-04-19,2020-04-25,-0.25,5
2020-04-26,2020-05-02,-1.0500011444091797,3
2020-05-03,2020-05-09,0.4499998092651367,5
2020-05-10,2020-05-16,0.34999942779541193,5
2020-05-17,2020-05-23,-0.125,5
2020-05-24,2020-05-30,-0.39999961853027344,4
2020-05-31,2020-06-06,-0.10000038146972656,2
2020-06-14,2020-06-20,-0.04999923706055043,2
2020-06-21,2020-06-27,-0.20000076293945135,5
2020-06-28,2020-07-04,0.1750001311302185,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,1.9750003814697266,5
2020-07-19,2020-07-25,-0.4750003814697248,5
2020-07-26,2020-08-01,0.75,4
