first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,27.5,5
2019-03-17,2019-03-23,10.0,5
2019-03-24,2019-03-30,77.5,5
2019-03-31,2019-04-06,57.5,5
2019-04-07,2019-04-13,5.0,5
2019-04-14,2019-04-20,10.0,5
2019-04-21,2019-04-27,47.5,5
2019-04-28,2019-05-04,-135.0,5
2019-05-05,2019-05-11,137.5,5
2019-05-12,2019-05-18,-22.5,5
2019-05-19,2019-05-25,37.5,5
2019-05-26,2019-06-01,10.0,5
2019-06-02,2019-06-08,107.5,5
2019-06-09,2019-06-15,180.0,5
2019-06-16,2019-06-22,-107.5,5
2019-06-23,2019-06-29,-152.5,5
2019-06-30,2019-07-06,-122.5,5
2019-07-07,2019-07-13,-120.0,5
2019-07-14,2019-07-20,-42.5,5
2019-07-21,2019-07-27,22.5,5
2019-07-28,2019-08-03,130.0,5
2019-08-04,2019-08-10,235.0,5
2019-08-11,2019-08-17,330.0,5
2019-08-18,2019-08-24,-97.5,5
2019-08-25,2019-08-31,197.5,5
2019-09-01,2019-09-07,-297.5,5
2019-09-08,2019-09-14,115.0,5
2019-09-15,2019-09-21,153.33333333333334,4
2019-09-22,2019-09-28,100.0,5
2019-09-29,2019-10-05,-340.0,2
2019-10-06,2019-10-12,25.0,3
2019-10-13,2019-10-19,96.66666666666667,3
2019-10-20,2019-10-26,233.33333333333334,3
2019-10-27,2019-11-02,142.5,5
2019-11-03,2019-11-09,15.0,5
2019-11-10,2019-11-16,65.0,5
2019-11-17,2019-11-23,-30.0,5
2019-11-24,2019-11-30,65.0,5
2019-12-01,2019-12-07,-67.5,5
2019-12-08,2019-12-14,5.0,5
2019-12-15,2019-12-21,-195.0,5
2019-12-22,2019-12-28,-197.5,5
2019-12-29,2020-01-04,-22.5,5
2020-01-05,2020-01-11,-25.0,5
2020-01-12,2020-01-18,242.5,5
2020-01-19,2020-01-25,252.5,5
2020-01-26,2020-02-01,-202.5,5
2020-02-02,2020-02-08,687.5,5
2020-02-09,2020-02-15,80.0,5
2020-02-16,2020-02-22,30.0,5
2020-02-23,2020-02-29,-1137.5,5
2020-03-01,2020-03-07,286.6666666666667,4
2020-03-08,2020-03-14,-983.3333333333334,4
2020-03-15,2020-03-21,320.0,5
2020-03-22,2020-03-28,57.5,5
2020-03-29,2020-04-04,365.0,5
2020-04-05,2020-04-11,-263.3333333333333,3
2020-04-12,2020-04-18,-520.0,3
2020-04-19,2020-04-25,-210.0,5
2020-04-26,2020-05-02,660.0,3
2020-05-03,2020-05-09,57.5,5
2020-05-10,2020-05-16,-45.0,5
2020-05-17,2020-05-23,342.5,5
2020-05-24,2020-05-30,0.0,4
2020-05-31,2020-06-06,-160.0,5
2020-06-07,2020-06-13,-190.0,4
2020-06-14,2020-06-20,-85.0,5
2020-06-21,2020-06-27,-495.0,5
2020-06-28,2020-07-04,189.9999237060547,5
2020-07-05,2020-07-11,12.5,5
2020-07-12,2020-07-18,32.5,5
2020-07-19,2020-07-25,5.0,5
2020-07-26,2020-08-01,-90.0,4
