first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-1.3,5
2019-09-15,2019-09-21,2.25,4
2019-09-22,2019-09-28,0.4600006103515625,5
2019-09-29,2019-10-05,0.34999847412109375,2
2019-10-06,2019-10-12,0.6000010172526041,3
2019-10-13,2019-10-19,-0.06666564941407198,3
2019-10-20,2019-10-26,-0.9333343505859281,3
2019-10-27,2019-11-02,-0.4,5
2019-11-03,2019-11-09,-0.6399993896484375,5
2019-11-10,2019-11-16,0.25999755859375,5
2019-11-17,2019-11-23,-1.679998779296875,5
2019-11-24,2019-11-30,-0.1,5
2019-12-01,2019-12-07,-0.3,5
2019-12-08,2019-12-14,-2.279998779296875,5
2019-12-15,2019-12-21,0.6399993896484375,5
2019-12-22,2019-12-28,2.2399993896484376,5
2019-12-29,2020-01-04,0.9399993896484375,5
2020-01-05,2020-01-11,0.420001220703125,5
2020-01-12,2020-01-18,-2.3399993896484377,5
2020-01-19,2020-01-25,-0.9,5
2020-01-26,2020-02-01,-1.9600006103515626,5
2020-02-02,2020-02-08,-2.2600006103515624,5
2020-02-09,2020-02-15,-1.1,5
2020-02-16,2020-02-22,-1.3,5
2020-02-23,2020-02-29,-2.2,5
2020-03-01,2020-03-07,-1.3500003814697266,4
2020-03-08,2020-03-14,-9.149999618530273,4
2020-03-15,2020-03-21,-0.7800003051757812,5
2020-03-22,2020-03-28,-2.1799995422363283,5
2020-03-29,2020-04-04,6.320000457763669,5
2020-04-05,2020-04-11,5.099998474121098,3
2020-04-12,2020-04-18,-2.3666661580403647,3
2020-04-19,2020-04-25,0.6,5
2020-04-26,2020-05-02,-2.266667683919266,3
2020-05-03,2020-05-09,0.3400009155273409,5
2020-05-10,2020-05-16,-0.48000030517578124,5
2020-05-17,2020-05-23,0.46000061035155965,5
2020-05-24,2020-05-30,-3.225000381469723,4
2020-05-31,2020-06-06,0.1,5
2020-06-07,2020-06-13,-0.8000011444091797,4
2020-06-14,2020-06-20,-2.4399993896484373,5
2020-06-21,2020-06-27,-0.3399993896484375,5
2020-06-28,2020-07-04,0.5399993896484375,5
2020-07-05,2020-07-11,-1.8400001525878906,5
2020-07-12,2020-07-18,1.020000457763669,5
2020-07-19,2020-07-25,0.5199996948242216,5
2020-07-26,2020-08-01,-1.8000001907348633,4
2020-08-02,2020-08-08,-0.11999969482421875,5
2020-08-09,2020-08-15,1.4200004577636718,5
2020-08-16,2020-08-22,-0.8600006103515625,5
2020-08-23,2020-08-29,0.08000030517577841,5
2020-08-30,2020-09-05,-0.08000030517577841,5
