first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,4.5,5
2019-03-17,2019-03-23,11.5,5
2019-03-24,2019-03-30,11.0,5
2019-03-31,2019-04-06,53.0,5
2019-04-07,2019-04-13,30.75,5
2019-04-14,2019-04-20,-10.0,5
2019-04-21,2019-04-27,34.75,5
2019-04-28,2019-05-04,-32.5,5
2019-05-05,2019-05-11,0.0,5
2019-05-12,2019-05-18,-5.0,5
2019-05-19,2019-05-25,4.0,5
2019-05-26,2019-06-01,13.0,5
2019-06-02,2019-06-08,21.5,5
2019-06-09,2019-06-15,-17.0,5
2019-06-16,2019-06-22,-31.75,5
2019-06-23,2019-06-29,27.25,5
2019-06-30,2019-07-06,5.25,5
2019-07-07,2019-07-13,-70.25,5
2019-07-14,2019-07-20,-29.25,5
2019-07-21,2019-07-27,8.5,5
2019-07-28,2019-08-03,-19.5,5
2019-08-04,2019-08-10,-1.0,5
2019-08-11,2019-08-17,0.25,5
2019-08-18,2019-08-24,-54.5,5
2019-08-25,2019-08-31,-8.5,5
2019-09-01,2019-09-07,-9.5,5
2019-09-08,2019-09-14,-7.5,5
2019-09-15,2019-09-21,17.333333333333332,4
2019-09-22,2019-09-28,-3.0,5
2019-09-29,2019-10-05,-26.5,2
2019-10-06,2019-10-12,19.5,3
2019-10-13,2019-10-19,8.333333333333334,3
2019-10-20,2019-10-26,6.666666666666667,3
2019-10-27,2019-11-02,-27.0,5
2019-11-03,2019-11-09,-6.75,5
2019-11-10,2019-11-16,-9.75,5
2019-11-17,2019-11-23,-2.0,5
2019-11-24,2019-11-30,0.5,5
2019-12-01,2019-12-07,-35.25,5
2019-12-08,2019-12-14,6.25,5
2019-12-15,2019-12-21,13.0,5
2019-12-22,2019-12-28,-34.25,5
2019-12-29,2020-01-04,-13.75,5
2020-01-05,2020-01-11,44.5,5
2020-01-12,2020-01-18,10.25,5
2020-01-19,2020-01-25,39.5,5
2020-01-26,2020-02-01,-29.75,5
2020-02-02,2020-02-08,12.5,5
2020-02-09,2020-02-15,-4.5,5
2020-02-16,2020-02-22,-24.0,5
2020-02-23,2020-02-29,-32.5,5
2020-03-01,2020-03-07,-30.0,4
2020-03-08,2020-03-14,-135.0,4
2020-03-15,2020-03-21,-13.0,5
2020-03-22,2020-03-28,64.75,5
2020-03-29,2020-04-04,12.5,5
2020-04-05,2020-04-11,-11.0,3
2020-04-12,2020-04-18,-23.0,3
2020-04-19,2020-04-25,-14.25,5
2020-04-26,2020-05-02,76.0,3
2020-05-03,2020-05-09,-14.0,5
2020-05-10,2020-05-16,-3.25,5
2020-05-17,2020-05-23,53.5,5
2020-05-24,2020-05-30,53.75,4
2020-05-31,2020-06-06,-26.5,5
2020-06-07,2020-06-13,28.5,4
2020-06-14,2020-06-20,-4.75,5
2020-06-21,2020-06-27,-1.0,5
2020-06-28,2020-07-04,16.750022888183594,5
2020-07-05,2020-07-11,21.25,5
2020-07-12,2020-07-18,1.25,5
2020-07-19,2020-07-25,13.25,5
2020-07-26,2020-08-01,-33.75,4
