first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-10,2019-03-16,0.4250030517577983,5
2019-03-17,2019-03-23,4.199996948242202,5
2019-03-24,2019-03-30,3.875,5
2019-03-31,2019-04-06,4.900001525878906,5
2019-04-07,2019-04-13,1.3499984741210938,5
2019-04-14,2019-04-20,-3.75,5
2019-04-21,2019-04-27,-1.7749938964843892,5
2019-04-28,2019-05-04,-7.375,5
2019-05-05,2019-05-11,-3.2750015258789062,5
2019-05-12,2019-05-18,-0.25,5
2019-05-19,2019-05-25,-4.4250030517578125,5
2019-05-26,2019-06-01,-6.175003051757798,5
2019-06-02,2019-06-08,7.775001525878906,5
2019-06-09,2019-06-15,-3.9250030517577983,5
2019-06-16,2019-06-22,4.775001525878906,5
2019-06-23,2019-06-29,-6.25,5
2019-06-30,2019-07-06,6.1999969482421875,5
2019-07-07,2019-07-13,-2.3250045776367188,5
2019-07-14,2019-07-20,-2.75,5
2019-07-21,2019-07-27,-1.25,5
2019-07-28,2019-08-03,-4.8249969482421875,5
2019-08-04,2019-08-10,0.75,5
2019-08-11,2019-08-17,-2.149993896484375,5
2019-08-18,2019-08-24,1.3000030517578125,5
2019-08-25,2019-08-31,0.22499847412109375,5
2019-09-01,2019-09-07,1.8499984741210938,5
2019-09-08,2019-09-14,-0.625,5
2019-09-15,2019-09-21,-3.2000020345052085,4
2019-09-22,2019-09-28,-0.09999847412109375,5
2019-09-29,2019-10-05,6.649993896484375,2
2019-10-06,2019-10-12,0.6000061035155966,3
2019-10-13,2019-10-19,3.6666666666666665,3
2019-10-20,2019-10-26,-4.733337402343731,3
2019-10-27,2019-11-02,-3.274993896484375,5
2019-11-03,2019-11-09,-2.1750030517578125,5
2019-11-10,2019-11-16,-1.399993896484375,5
2019-11-17,2019-11-23,-2.4000015258789062,5
2019-11-24,2019-11-30,-2.6500015258789062,5
2019-12-01,2019-12-07,-1.5,5
2019-12-08,2019-12-14,3.2750015258789062,5
2019-12-15,2019-12-21,-5.3000030517578125,5
2019-12-22,2019-12-28,1.75,5
2019-12-29,2020-01-04,7.200004577636719,5
2020-01-05,2020-01-11,7.324996948242202,5
2020-01-12,2020-01-18,-5.599998474121094,5
2020-01-19,2020-01-25,1.875,5
2020-01-26,2020-02-01,0.625,5
2020-02-02,2020-02-08,-6.400001525878906,5
2020-02-09,2020-02-15,3.0250015258789062,5
2020-02-16,2020-02-22,-2.5250015258789062,5
2020-02-23,2020-02-29,-5.150001525878906,5
2020-03-01,2020-03-07,-5.366668701171856,4
2020-03-08,2020-03-14,-15.633336385091127,4
2020-03-15,2020-03-21,-9.049999237060547,5
2020-03-22,2020-03-28,17.875,5
2020-03-29,2020-04-04,-4.325000762939453,5
2020-04-05,2020-04-11,4.0666656494140625,3
2020-04-12,2020-04-18,-1.099998474121108,3
2020-04-19,2020-04-25,0.47500228881835227,5
2020-04-26,2020-05-02,4.149993896484375,3
2020-05-03,2020-05-09,-5.5,5
2020-05-10,2020-05-16,1.549999237060554,5
2020-05-17,2020-05-23,5.674999237060547,5
2020-05-24,2020-05-30,-5.974998474121101,4
2020-05-31,2020-06-06,-4.3000030517578125,5
2020-06-07,2020-06-13,-0.22499847412110086,4
2020-06-14,2020-06-20,1.5999984741211009,5
2020-06-21,2020-06-27,-1.674999237060554,5
2020-06-28,2020-07-04,-5.349998950958252,5
2020-07-05,2020-07-11,2.2250022888183523,5
2020-07-12,2020-07-18,-0.1750030517577983,5
2020-07-19,2020-07-25,-1.549999237060554,5
2020-07-26,2020-08-01,2.474998474121101,4
