first_day_in_week,last_day_in_week,mean,days_in_week
2020-02-02,2020-02-08,29.0,1
2020-02-09,2020-02-15,-22.8,5
2020-02-16,2020-02-22,35.6,5
2020-02-23,2020-02-29,0.0,5
2020-03-01,2020-03-07,0.0,4
2020-03-08,2020-03-14,59.5,4
2020-03-15,2020-03-21,-210.4,5
2020-03-22,2020-03-28,4.4,5
2020-03-29,2020-04-04,-38.0,5
2020-04-05,2020-04-11,-98.0,3
2020-04-12,2020-04-18,-143.0,3
2020-04-19,2020-04-25,-33.4,5
2020-04-26,2020-05-02,108.33333333333333,3
2020-05-03,2020-05-09,197.0,5
2020-05-10,2020-05-16,-145.6,5
2020-05-17,2020-05-23,-20.6,5
2020-05-24,2020-05-30,-5.0,4
2020-05-31,2020-06-06,-89.2,5
2020-06-07,2020-06-13,85.5,4
2020-06-14,2020-06-20,-18.6,5
2020-06-21,2020-06-27,-0.8,5
2020-06-28,2020-07-04,-385.3479999542236,5
2020-07-05,2020-07-11,-0.5779998779296882,5
2020-07-12,2020-07-18,0.1359996795654297,5
2020-07-19,2020-07-25,-0.06599998474121165,5
2020-07-26,2020-08-01,0.007500171661377841,4
2020-08-02,2020-08-08,0.19000015258789063,5
2020-08-09,2020-08-15,1.184000015258789,5
2020-08-16,2020-08-22,-1.0060001373291017,5
2020-08-23,2020-08-29,-0.0799999237060554,5
2020-08-30,2020-09-05,-0.15800018310546804,5
