first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,1.6,5
2019-09-15,2019-09-21,2.875,4
2019-09-22,2019-09-28,-2.2600006103515566,5
2019-09-29,2019-10-05,0.9500045776367045,2
2019-10-06,2019-10-12,4.199996948242197,3
2019-10-13,2019-10-19,8.799997965494782,3
2019-10-20,2019-10-26,5.400004069010417,3
2019-10-27,2019-11-02,-0.95999755859375,5
2019-11-03,2019-11-09,-1.9600036621093637,5
2019-11-10,2019-11-16,-4.2799987792968865,5
2019-11-17,2019-11-23,-2.0,5
2019-11-24,2019-11-30,6.44000244140625,5
2019-12-01,2019-12-07,-2.320001220703136,5
2019-12-08,2019-12-14,-0.44000244140622724,5
2019-12-15,2019-12-21,-2.4000000000000057,5
2019-12-22,2019-12-28,-0.6399993896484432,5
2019-12-29,2020-01-04,5.139999389648449,5
2020-01-05,2020-01-11,-2.5599975585937726,5
2020-01-12,2020-01-18,-0.5200012207031136,5
2020-01-19,2020-01-25,3.0200012207031137,5
2020-01-26,2020-02-01,-5.580001831054676,5
2020-02-02,2020-02-08,-2.3,5
2020-02-09,2020-02-15,0.8800018310546818,5
2020-02-16,2020-02-22,-0.020001220703119316,5
2020-02-23,2020-02-29,0.5600006103515625,5
2020-03-01,2020-03-07,-7.900001525878906,4
2020-03-08,2020-03-14,-5.799999237060547,4
2020-03-15,2020-03-21,-1.7,5
2020-03-22,2020-03-28,9.5,5
2020-03-29,2020-04-04,6.04000244140625,5
2020-04-05,2020-04-11,2.899993896484394,3
2020-04-12,2020-04-18,1.4000040690103788,3
2020-04-19,2020-04-25,-1.3600036621093636,5
2020-04-26,2020-05-02,6.866668701171875,3
2020-05-03,2020-05-09,-1.779998779296875,5
2020-05-10,2020-05-16,-0.7,5
2020-05-17,2020-05-23,6.079998779296875,5
2020-05-24,2020-05-30,-1.9749984741210938,4
2020-05-31,2020-06-06,-0.379998779296875,5
2020-06-07,2020-06-13,-4.300003051757798,4
2020-06-14,2020-06-20,10.920001220703114,5
2020-06-21,2020-06-27,-4.65999755859375,5
2020-06-28,2020-07-04,-3.160003662109375,5
2020-07-05,2020-07-11,0.860003662109375,5
2020-07-12,2020-07-18,-0.860003662109375,5
2020-07-19,2020-07-25,0.520001220703125,5
2020-07-26,2020-08-01,4.349998474121094,4
2020-08-02,2020-08-08,6.279998779296875,5
2020-08-09,2020-08-15,-4.7,5
2020-08-16,2020-08-22,-0.8199951171875,5
2020-08-23,2020-08-29,2.3,5
2020-08-30,2020-09-05,-0.3800048828125,5
