first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-10.947006225585952,5
2019-03-10,2019-03-16,-0.7960052490234375,5
2019-03-17,2019-03-23,-2.7614974975585938,5
2019-03-24,2019-03-30,-1.0202484130859375,5
2019-03-31,2019-04-06,-11.5989990234375,5
2019-04-07,2019-04-13,0.4499969482421875,5
2019-04-14,2019-04-20,-0.625,5
2019-04-21,2019-04-27,-1.5500030517578125,5
2019-04-28,2019-05-04,-0.875,5
2019-05-05,2019-05-11,0.0,5
2019-05-12,2019-05-18,0.125,5
2019-05-19,2019-05-25,0.0,5
2019-05-26,2019-06-01,-1.5499954223632812,5
2019-06-02,2019-06-08,1.625,5
2019-06-09,2019-06-15,-4.525001525878906,5
2019-06-16,2019-06-22,-2.0499954223632812,5
2019-06-23,2019-06-29,-2.4000015258789205,5
2019-06-30,2019-07-06,-1.3499984741210795,5
2019-07-07,2019-07-13,-7.349998474121101,5
2019-07-14,2019-07-20,0.07499694824220171,5
2019-07-21,2019-07-27,10.450004577636712,5
2019-07-28,2019-08-03,-3.625,5
2019-08-04,2019-08-10,-1.4999961853027344,5
2019-08-11,2019-08-17,-4.150001525878906,5
2019-08-18,2019-08-24,-5.100002288818352,5
2019-08-25,2019-08-31,-0.9000015258789062,5
2019-09-01,2019-09-07,4.200000762939446,5
2019-09-08,2019-09-14,5.299999237060547,5
2019-09-15,2019-09-21,3.1000010172525947,4
2019-09-22,2019-09-28,-2.825000762939446,5
2019-09-29,2019-10-05,0.9500045776367045,2
2019-10-06,2019-10-12,4.149993896484403,3
2019-10-13,2019-10-19,8.799997965494782,3
2019-10-20,2019-10-26,5.400004069010417,3
2019-10-27,2019-11-02,0.5,5
2019-11-03,2019-11-09,-0.7249984741210795,5
2019-11-10,2019-11-16,-5.3000030517578125,5
2019-11-17,2019-11-23,-2.25,5
2019-11-24,2019-11-30,8.000003814697266,5
2019-12-01,2019-12-07,-2.9000015258789205,5
2019-12-08,2019-12-14,-1.125,5
2019-12-15,2019-12-21,-1.875000000000007,5
2019-12-22,2019-12-28,-1.3250007629394531,5
2019-12-29,2020-01-04,7.599998474121108,5
2020-01-05,2020-01-11,-2.099998474121108,5
2020-01-12,2020-01-18,-0.27500152587889204,5
2020-01-19,2020-01-25,1.775001525878892,5
2020-01-26,2020-02-01,-5.149997711181641,5
2020-02-02,2020-02-08,-1.3250007629394531,5
2020-02-09,2020-02-15,0.6750030517577983,5
2020-02-16,2020-02-22,-0.025001525878899145,5
2020-02-23,2020-02-29,0.7000007629394531,5
2020-03-01,2020-03-07,-13.766667683919271,4
2020-03-08,2020-03-14,-6.0666656494140625,4
2020-03-15,2020-03-21,-2.625,5
2020-03-22,2020-03-28,10.25,5
2020-03-29,2020-04-04,7.325004577636712,5
2020-04-05,2020-04-11,2.899993896484394,3
2020-04-12,2020-04-18,0.75,3
2020-04-19,2020-04-25,-3.9000015258789205,5
2020-04-26,2020-05-02,8.649993896484403,3
2020-05-03,2020-05-09,0.25,5
2020-05-10,2020-05-16,-2.2249984741210938,5
2020-05-17,2020-05-23,6.299995422363281,5
2020-05-24,2020-05-30,-1.9749984741210938,4
2020-05-31,2020-06-06,-1.2750015258789062,5
2020-06-07,2020-06-13,-4.300003051757798,4
2020-06-14,2020-06-20,13.150001525878892,5
2020-06-21,2020-06-27,-4.924995422363281,5
2020-06-28,2020-07-04,-76.31900304555893,5
2020-07-05,2020-07-11,2.5,5
2020-07-12,2020-07-18,-0.75,5
2020-07-19,2020-07-25,1.6999969482421875,5
