first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.4199981689453183,5
2019-09-15,2019-09-21,-1.6500015258789062,4
2019-09-22,2019-09-28,-0.179998779296875,5
2019-09-29,2019-10-05,-4.5500030517578125,2
2019-10-06,2019-10-12,-2.766667683919261,3
2019-10-13,2019-10-19,6.600001017252595,3
2019-10-20,2019-10-26,0.06666564941407198,3
2019-10-27,2019-11-02,10.079998779296869,5
2019-11-03,2019-11-09,-1.9199951171875,5
2019-11-10,2019-11-16,-1.5600036621093636,5
2019-11-17,2019-11-23,0.1,5
2019-11-24,2019-11-30,1.7600036621093635,5
2019-12-01,2019-12-07,-0.4200012207031364,5
2019-12-08,2019-12-14,-2.4799987792968636,5
2019-12-15,2019-12-21,-2.7600036621093693,5
2019-12-22,2019-12-28,2.8200012207031193,5
2019-12-29,2020-01-04,3.879998779296886,5
2020-01-05,2020-01-11,-3.0200012207031364,5
2020-01-12,2020-01-18,2.0200012207031364,5
2020-01-19,2020-01-25,-3.1599975585937727,5
2020-01-26,2020-02-01,-1.940002441406233,5
2020-02-02,2020-02-08,0.4,5
2020-02-09,2020-02-15,-5.619998168945318,5
2020-02-16,2020-02-22,4.779998779296875,5
2020-02-23,2020-02-29,-2.7399993896484376,5
2020-03-01,2020-03-07,6.525001525878892,4
2020-03-08,2020-03-14,-10.900001525878892,4
2020-03-15,2020-03-21,-4.920001220703119,5
2020-03-22,2020-03-28,3.2,5
2020-03-29,2020-04-04,3.6,5
2020-04-05,2020-04-11,0.4000040690103977,3
2020-04-12,2020-04-18,-2.400004069010398,3
2020-04-19,2020-04-25,0.5400024414062387,5
2020-04-26,2020-05-02,-2.8333333333333335,3
2020-05-03,2020-05-09,0.039999389648443184,5
2020-05-10,2020-05-16,-2.039999389648443,5
2020-05-17,2020-05-23,3.5799987792968806,5
2020-05-24,2020-05-30,0.9249992370605469,4
2020-05-31,2020-06-06,-1.679998779296875,5
2020-06-07,2020-06-13,0.7749977111816477,4
2020-06-14,2020-06-20,0.4,5
2020-06-21,2020-06-27,-0.9199981689453182,5
2020-06-28,2020-07-04,-0.1399993896484432,5
2020-07-05,2020-07-11,0.9799987792968807,5
2020-07-12,2020-07-18,-1.1200012207031194,5
2020-07-19,2020-07-25,0.4200012207031193,5
2020-07-26,2020-08-01,-3.5,4
2020-08-02,2020-08-08,1.3600006103515625,5
2020-08-09,2020-08-15,-0.6,5
2020-08-16,2020-08-22,-0.4800018310546818,5
2020-08-23,2020-08-29,1.6200012207031194,5
2020-08-30,2020-09-05,-1.4399993896484375,5
