first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,17.0,5
2019-09-15,2019-09-21,-33.5,4
2019-09-22,2019-09-28,16.8,5
2019-09-29,2019-10-05,-89.5,2
2019-10-06,2019-10-12,55.666666666666664,3
2019-10-13,2019-10-19,-1.6666666666666667,3
2019-10-20,2019-10-26,23.666666666666668,3
2019-10-27,2019-11-02,17.0,5
2019-11-03,2019-11-09,-12.2,5
2019-11-10,2019-11-16,-9.6,5
2019-11-17,2019-11-23,18.0,5
2019-11-24,2019-11-30,10.6,5
2019-12-01,2019-12-07,-4.4,5
2019-12-08,2019-12-14,35.0,5
2019-12-15,2019-12-21,2.0,5
2019-12-22,2019-12-28,1.0,5
2019-12-29,2020-01-04,17.6,5
2020-01-05,2020-01-11,12.4,5
2020-01-12,2020-01-18,62.0,5
2020-01-19,2020-01-25,42.2,5
2020-01-26,2020-02-01,-106.2,5
2020-02-02,2020-02-08,29.8,5
2020-02-09,2020-02-15,-50.6,5
2020-02-16,2020-02-22,8.8,5
2020-02-23,2020-02-29,-106.2,5
2020-03-01,2020-03-07,-11.25,4
2020-03-08,2020-03-14,-131.5,4
2020-03-15,2020-03-21,-91.2,5
2020-03-22,2020-03-28,127.6,5
2020-03-29,2020-04-04,-9.2,5
2020-04-05,2020-04-11,152.66666666666666,3
2020-04-12,2020-04-18,59.333333333333336,3
2020-04-19,2020-04-25,6.4,5
2020-04-26,2020-05-02,58.0,3
2020-05-03,2020-05-09,-28.0,5
2020-05-10,2020-05-16,23.2,5
2020-05-17,2020-05-23,123.6,5
2020-05-24,2020-05-30,14.0,4
2020-05-31,2020-06-06,-9.2,5
2020-06-07,2020-06-13,-24.25,4
2020-06-14,2020-06-20,29.4,5
2020-06-21,2020-06-27,-33.4,5
2020-06-28,2020-07-04,-6.2,5
2020-07-05,2020-07-11,-27.6,5
2020-07-12,2020-07-18,10.2,5
2020-07-19,2020-07-25,67.6,5
2020-07-26,2020-08-01,35.25,4
2020-08-02,2020-08-08,16.2,5
2020-08-09,2020-08-15,5.0,5
2020-08-16,2020-08-22,21.6,5
2020-08-23,2020-08-29,52.0,5
2020-08-30,2020-09-05,-122.2,5
