first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-552.980078125,5
2019-09-15,2019-09-21,414.72509765625,4
2019-09-22,2019-09-28,154.83984375,5
2019-09-29,2019-10-05,-55.298828125,2
2019-10-06,2019-10-12,227.33333333333334,3
2019-10-13,2019-10-19,316.4322916666667,3
2019-10-20,2019-10-26,98.30078125,3
2019-10-27,2019-11-02,202.7796875,5
2019-11-03,2019-11-09,-346.53984375,5
2019-11-10,2019-11-16,-51.6203125,5
2019-11-17,2019-11-23,108.76015625,5
2019-11-24,2019-11-30,40.53984375,5
2019-12-01,2019-12-07,218.6203125,5
2019-12-08,2019-12-14,146.0,5
2019-12-15,2019-12-21,-228.0,5
2019-12-22,2019-12-28,56.0,5
2019-12-29,2020-01-04,494.0,5
2020-01-05,2020-01-11,-164.0,5
2020-01-12,2020-01-18,-12.0,5
2020-01-19,2020-01-25,88.0,5
2020-01-26,2020-02-01,50.0,5
2020-02-02,2020-02-08,128.0,5
2020-02-09,2020-02-15,92.0,5
2020-02-16,2020-02-22,94.0,5
2020-02-23,2020-02-29,-682.0,5
2020-03-01,2020-03-07,-752.5,4
2020-03-08,2020-03-14,-2412.5,4
2020-03-15,2020-03-21,-1184.0,5
2020-03-22,2020-03-28,160.0,5
2020-03-29,2020-04-04,962.0,5
2020-04-05,2020-04-11,833.3333333333334,3
2020-04-12,2020-04-18,-560.0,3
2020-04-19,2020-04-25,166.0,5
2020-04-26,2020-05-02,350.0,3
2020-05-03,2020-05-09,-154.0,5
2020-05-10,2020-05-16,-596.0,5
2020-05-17,2020-05-23,38.0,5
2020-05-24,2020-05-30,320.0,4
2020-05-31,2020-06-06,-314.0,5
2020-06-07,2020-06-13,352.5,4
2020-06-14,2020-06-20,-384.0,5
2020-06-21,2020-06-27,50.0,5
2020-06-28,2020-07-04,-130.0,5
2020-07-05,2020-07-11,-198.0,5
2020-07-12,2020-07-18,278.0,5
2020-07-19,2020-07-25,664.0,5
2020-07-26,2020-08-01,360.0,4
2020-08-02,2020-08-08,-570.0,5
2020-08-09,2020-08-15,32.0,5
2020-08-16,2020-08-22,-352.0,5
2020-08-23,2020-08-29,6.0,5
2020-08-30,2020-09-05,-348.0,5
