first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-0.05999755859375,5
2019-09-15,2019-09-21,0.8249969482421875,4
2019-09-22,2019-09-28,-1.05999755859375,5
2019-09-29,2019-10-05,-3.350006103515625,2
2019-10-06,2019-10-12,1.8333333333333333,3
2019-10-13,2019-10-19,9.466654459635416,3
2019-10-20,2019-10-26,9.600016276041666,3
2019-10-27,2019-11-02,2.0,5
2019-11-03,2019-11-09,0.15999755859375,5
2019-11-10,2019-11-16,-0.14000244140625,5
2019-11-17,2019-11-23,2.9,5
2019-11-24,2019-11-30,1.2,5
2019-12-01,2019-12-07,-1.4800048828125,5
2019-12-08,2019-12-14,2.94000244140625,5
2019-12-15,2019-12-21,22.44000244140625,5
2019-12-22,2019-12-28,-3.2,5
2019-12-29,2020-01-04,8.4,5
2020-01-05,2020-01-11,3.580004882812477,5
2020-01-12,2020-01-18,-8.360009765624955,5
2020-01-19,2020-01-25,4.980004882812477,5
2020-01-26,2020-02-01,-7.9199951171875,5
2020-02-02,2020-02-08,-9.82000732421875,5
2020-02-09,2020-02-15,4.8800048828125,5
2020-02-16,2020-02-22,9.540002441406227,5
2020-02-23,2020-02-29,-9.680004882812478,5
2020-03-01,2020-03-07,-9.25,4
2020-03-08,2020-03-14,-45.80000305175781,4
2020-03-15,2020-03-21,-16.25999755859375,5
2020-03-22,2020-03-28,-6.459997558593773,5
2020-03-29,2020-04-04,37.15999755859377,5
2020-04-05,2020-04-11,-2.5,3
2020-04-12,2020-04-18,-4.699991861979167,3
2020-04-19,2020-04-25,-8.92000732421875,5
2020-04-26,2020-05-02,0.76666259765625,3
2020-05-03,2020-05-09,0.860009765625,5
2020-05-10,2020-05-16,-0.9800048828125,5
2020-05-17,2020-05-23,4.44000244140625,5
2020-05-24,2020-05-30,2.9749908447265625,4
2020-05-31,2020-06-06,-7.57999267578125,5
2020-06-07,2020-06-13,1.4499969482421875,4
2020-06-14,2020-06-20,-4.9199951171875,5
2020-06-21,2020-06-27,-11.7800048828125,5
2020-06-28,2020-07-04,-1.1599975585937727,5
2020-07-05,2020-07-11,-1.9599975585937273,5
2020-07-12,2020-07-18,10.1199951171875,5
2020-07-19,2020-07-25,-2.74000244140625,5
2020-07-26,2020-08-01,1.4250030517578125,4
2020-08-02,2020-08-08,-3.6,5
2020-08-09,2020-08-15,0.3199951171875,5
2020-08-16,2020-08-22,-3.979992675781273,5
2020-08-23,2020-08-29,7.440002441406273,5
2020-08-30,2020-09-05,-8.7,5
