first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-31.0,5
2019-03-10,2019-03-16,-7.0,5
2019-03-17,2019-03-23,-19.5,5
2019-03-24,2019-03-30,0.25,5
2019-03-31,2019-04-06,9.0,5
2019-04-07,2019-04-13,38.5,5
2019-04-14,2019-04-20,3.5,5
2019-04-21,2019-04-27,3.0,5
2019-04-28,2019-05-04,12.5,5
2019-05-05,2019-05-11,-3.0,5
2019-05-12,2019-05-18,-0.75,5
2019-05-19,2019-05-25,6.75,5
2019-05-26,2019-06-01,5.25,5
2019-06-02,2019-06-08,-5.75,5
2019-06-09,2019-06-15,2.75,5
2019-06-16,2019-06-22,-1.5,5
2019-06-23,2019-06-29,-21.0,5
2019-06-30,2019-07-06,46.0,5
2019-07-07,2019-07-13,-20.25,5
2019-07-14,2019-07-20,25.75,5
2019-07-21,2019-07-27,20.0,5
2019-07-28,2019-08-03,15.0,5
2019-08-04,2019-08-10,37.0,5
2019-08-11,2019-08-17,-0.25,5
2019-08-18,2019-08-24,-20.25,5
2019-08-25,2019-08-31,5.5,5
2019-09-01,2019-09-07,32.75,5
2019-09-08,2019-09-14,20.75,5
2019-09-15,2019-09-21,38.666666666666664,4
2019-09-22,2019-09-28,-27.0,5
2019-09-29,2019-10-05,-58.5,2
2019-10-06,2019-10-12,-20.0,3
2019-10-13,2019-10-19,9.666666666666666,3
2019-10-20,2019-10-26,1.0,3
2019-10-27,2019-11-02,-9.75,5
2019-11-03,2019-11-09,-11.25,5
2019-11-10,2019-11-16,-35.5,5
2019-11-17,2019-11-23,3.0,5
2019-11-24,2019-11-30,68.75,5
2019-12-01,2019-12-07,19.0,5
2019-12-08,2019-12-14,79.75,5
2019-12-15,2019-12-21,-38.75,5
2019-12-22,2019-12-28,0.0,5
2019-12-29,2020-01-04,27.5,5
2020-01-05,2020-01-11,38.5,5
2020-01-12,2020-01-18,-4.0,5
2020-01-19,2020-01-25,26.75,5
2020-01-26,2020-02-01,-21.75,5
2020-02-02,2020-02-08,45.75,5
2020-02-09,2020-02-15,-21.25,5
2020-02-16,2020-02-22,11.75,5
2020-02-23,2020-02-29,-66.25,5
2020-03-01,2020-03-07,-112.33333333333333,4
2020-03-08,2020-03-14,-111.66666666666667,4
2020-03-15,2020-03-21,-35.5,5
2020-03-22,2020-03-28,110.25,5
2020-03-29,2020-04-04,-33.75,5
2020-04-05,2020-04-11,58.333333333333336,3
2020-04-12,2020-04-18,35.0,3
2020-04-19,2020-04-25,-1.0,5
2020-04-26,2020-05-02,66.5,3
2020-05-03,2020-05-09,-68.5,5
2020-05-10,2020-05-16,-22.25,5
2020-05-17,2020-05-23,-33.0,5
2020-05-24,2020-05-30,-20.75,4
2020-05-31,2020-06-06,4.75,5
2020-06-07,2020-06-13,2.5,4
2020-06-14,2020-06-20,39.5,5
2020-06-21,2020-06-27,58.0,5
2020-06-28,2020-07-04,-8.749980926513672,5
2020-07-05,2020-07-11,-9.5,5
2020-07-12,2020-07-18,71.0,5
2020-07-19,2020-07-25,-16.25,5
