first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,11.250019073486442,5
2019-03-10,2019-03-16,-79.64999675750732,5
2019-03-17,2019-03-23,12.725019454956055,5
2019-03-24,2019-03-30,18.724989891052246,5
2019-03-31,2019-04-06,25.425004959106445,5
2019-04-07,2019-04-13,0.0,5
2019-04-14,2019-04-20,-11.249995231628418,5
2019-04-21,2019-04-27,3.749990463256836,5
2019-04-28,2019-05-04,-10.000014305114746,5
2019-05-05,2019-05-11,-2.0000219345092773,5
2019-05-12,2019-05-18,7.249999046325684,5
2019-05-19,2019-05-25,-3.9999961853027344,5
2019-05-26,2019-06-01,-20.099997520446777,5
2019-06-02,2019-06-08,25.07498264312747,5
2019-06-09,2019-06-15,3.5000085830688477,5
2019-06-16,2019-06-22,-6.499981880188017,5
2019-06-23,2019-06-29,-7.499980926513672,5
2019-06-30,2019-07-06,14.250016212463322,5
2019-07-07,2019-07-13,-10.99998950958252,5
2019-07-14,2019-07-20,0.9999990463256836,5
2019-07-21,2019-07-27,27.499985694885197,5
2019-07-28,2019-08-03,55.7499885559082,5
2019-08-04,2019-08-10,-76.74999237060541,5
2019-08-11,2019-08-17,-25.0,5
2019-08-18,2019-08-24,47.49999046325672,5
2019-08-25,2019-08-31,-8.750009536743164,5
2019-09-01,2019-09-07,-33.749985694885254,5
2019-09-08,2019-09-14,-19.250011444091797,5
2019-09-15,2019-09-21,-2.333354949951096,4
2019-09-22,2019-09-28,4.499983787536621,5
2019-09-29,2019-10-05,-29.999971389770735,2
2019-10-06,2019-10-12,-0.5000114440917969,3
2019-10-13,2019-10-19,-5.666669209798177,3
2019-10-20,2019-10-26,50.99999109903971,3
2019-10-27,2019-11-02,-27.99999713897705,5
2019-11-03,2019-11-09,-10.749983787536621,5
2019-11-10,2019-11-16,0.2500057220458416,5
2019-11-17,2019-11-23,27.500009536743164,5
2019-11-24,2019-11-30,0.749993324279842,5
2019-12-01,2019-12-07,-24.250006675720158,5
2019-12-08,2019-12-14,-5.4999828338623615,5
2019-12-15,2019-12-21,-18.000006675720215,5
2019-12-22,2019-12-28,-5.500006675720158,5
2019-12-29,2020-01-04,4.7499895095825195,5
2020-01-05,2020-01-11,-8.474993705749512,5
2020-01-12,2020-01-18,7.099986076355009,5
2020-01-19,2020-01-25,-29.149985313415527,5
2020-01-26,2020-02-01,-11.500000953674316,5
2020-02-02,2020-02-08,1.6749978065491007,5
2020-02-09,2020-02-15,-15.125000476837158,5
2020-02-16,2020-02-22,-4.875004291534424,5
2020-02-23,2020-02-29,-34.02500152587888,5
2020-03-01,2020-03-07,-28.066666920979817,4
2020-03-08,2020-03-14,-47.166665395100914,4
2020-03-15,2020-03-21,5.049997568130493,5
2020-03-22,2020-03-28,8.650004863739028,5
2020-03-29,2020-04-04,6.400001049041748,5
2020-04-05,2020-04-11,-1.700003941853841,3
2020-04-12,2020-04-18,-14.049994945526123,3
2020-04-19,2020-04-25,14.400001525878906,5
2020-04-26,2020-05-02,-23.15000915527338,3
2020-05-03,2020-05-09,7.224998474121094,5
2020-05-10,2020-05-16,-10.324996948242188,5
2020-05-17,2020-05-23,-2.8000030517578125,5
2020-05-24,2020-05-30,-4.75,4
2020-05-31,2020-06-06,-4.024993896484389,5
2020-06-07,2020-06-13,-4.850006103515611,4
2020-06-14,2020-06-20,-5.8250045776367045,5
2020-06-21,2020-06-27,-2.7000045776367188,5
2020-06-28,2020-07-04,0.47500157356262207,5
2020-07-05,2020-07-11,7.025001525878906,5
2020-07-12,2020-07-18,-1.5500030517577983,5
2020-07-19,2020-07-25,3.0,5
