first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.019995117187511367,5
2019-09-15,2019-09-21,3.5500030517577983,4
2019-09-22,2019-09-28,2.74000244140625,5
2019-09-29,2019-10-05,-6.200012207031222,2
2019-10-06,2019-10-12,4.066670735677064,3
2019-10-13,2019-10-19,3.9000040690103788,3
2019-10-20,2019-10-26,-1.8333333333333333,3
2019-10-27,2019-11-02,-2.199999999999977,5
2019-11-03,2019-11-09,-8.7,5
2019-11-10,2019-11-16,0.7199951171875114,5
2019-11-17,2019-11-23,1.7600036621093635,5
2019-11-24,2019-11-30,3.75999755859375,5
2019-12-01,2019-12-07,-6.639996337890625,5
2019-12-08,2019-12-14,-1.060003662109375,5
2019-12-15,2019-12-21,-1.45999755859375,5
2019-12-22,2019-12-28,-1.9,5
2019-12-29,2020-01-04,3.379998779296875,5
2020-01-05,2020-01-11,-2.479998779296875,5
2020-01-12,2020-01-18,3.320001220703125,5
2020-01-19,2020-01-25,3.839996337890625,5
2020-01-26,2020-02-01,0.720001220703125,5
2020-02-02,2020-02-08,-1.179998779296875,5
2020-02-09,2020-02-15,4.75999755859375,5
2020-02-16,2020-02-22,1.4799987792968863,5
2020-02-23,2020-02-29,-8.7,5
2020-03-01,2020-03-07,-4.324996948242202,4
2020-03-08,2020-03-14,-1.5250015258789062,4
2020-03-15,2020-03-21,2.120001220703125,5
2020-03-22,2020-03-28,6.379998779296875,5
2020-03-29,2020-04-04,0.44000244140625,5
2020-04-05,2020-04-11,0.16666666666666666,3
2020-04-12,2020-04-18,-0.866668701171875,3
2020-04-19,2020-04-25,2.64000244140625,5
2020-04-26,2020-05-02,7.166666666666629,3
2020-05-03,2020-05-09,-1.2200012207031024,5
2020-05-10,2020-05-16,1.2399963378906478,5
2020-05-17,2020-05-23,4.6800048828124545,5
2020-05-24,2020-05-30,25.34999084472659,4
2020-05-31,2020-06-06,-16.6,5
2020-06-07,2020-06-13,-4.024993896484375,4
2020-06-14,2020-06-20,4.24000244140625,5
2020-06-21,2020-06-27,-7.000000000000023,5
2020-06-28,2020-07-04,-3.920001220703102,5
2020-07-05,2020-07-11,10.239996337890648,5
2020-07-12,2020-07-18,-6.840002441406273,5
2020-07-19,2020-07-25,1.1,5
2020-07-26,2020-08-01,-3.099990844726591,4
2020-08-02,2020-08-08,2.1199951171875453,5
2020-08-09,2020-08-15,7.880004882812477,5
2020-08-16,2020-08-22,4.77999267578125,5
2020-08-23,2020-08-29,1.660009765625,5
2020-08-30,2020-09-05,-3.660009765625,5
