first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,8.6,5
2019-09-15,2019-09-21,-4.5,4
2019-09-22,2019-09-28,5.2,5
2019-09-29,2019-10-05,-6.0,2
2019-10-06,2019-10-12,8.333333333333334,3
2019-10-13,2019-10-19,17.333333333333332,3
2019-10-20,2019-10-26,-7.666666666666667,3
2019-10-27,2019-11-02,-5.6,5
2019-11-03,2019-11-09,-1.8,5
2019-11-10,2019-11-16,-6.2,5
2019-11-17,2019-11-23,2.2,5
2019-11-24,2019-11-30,-21.6,5
2019-12-01,2019-12-07,-1.0,5
2019-12-08,2019-12-14,-0.4,5
2019-12-15,2019-12-21,13.0,5
2019-12-22,2019-12-28,-1.4,5
2019-12-29,2020-01-04,5.0,5
2020-01-05,2020-01-11,7.8,5
2020-01-12,2020-01-18,-4.2,5
2020-01-19,2020-01-25,2.4,5
2020-01-26,2020-02-01,-9.8,5
2020-02-02,2020-02-08,-17.2,5
2020-02-09,2020-02-15,14.8,5
2020-02-16,2020-02-22,-8.8,5
2020-02-23,2020-02-29,-20.0,5
2020-03-01,2020-03-07,-31.074996948242188,4
2020-03-08,2020-03-14,-38.67500305175781,4
2020-03-15,2020-03-21,17.15999755859375,5
2020-03-22,2020-03-28,35.84000244140625,5
2020-03-29,2020-04-04,3.4,5
2020-04-05,2020-04-11,-7.666666666666667,3
2020-04-12,2020-04-18,8.0,3
2020-04-19,2020-04-25,19.8,5
2020-04-26,2020-05-02,12.333333333333334,3
2020-05-03,2020-05-09,-10.2,5
2020-05-10,2020-05-16,-15.8,5
2020-05-17,2020-05-23,14.0,5
2020-05-24,2020-05-30,-11.5,4
2020-05-31,2020-06-06,2.2,5
2020-06-07,2020-06-13,-11.75,4
2020-06-14,2020-06-20,-22.6,5
2020-06-21,2020-06-27,9.2,5
2020-06-28,2020-07-04,3.4,5
2020-07-05,2020-07-11,-3.2,5
2020-07-12,2020-07-18,45.0,5
2020-07-19,2020-07-25,16.8,5
2020-07-26,2020-08-01,-17.5,4
2020-08-02,2020-08-08,2.0,5
2020-08-09,2020-08-15,-0.4,5
2020-08-16,2020-08-22,-4.8,5
2020-08-23,2020-08-29,14.8,5
2020-08-30,2020-09-05,-9.2,5
