first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-1.2750015258789062,5
2019-03-10,2019-03-16,-0.15000152587890625,5
2019-03-17,2019-03-23,-0.34999847412109375,5
2019-03-24,2019-03-30,5.075004577636719,5
2019-03-31,2019-04-06,6.650001525878906,5
2019-04-07,2019-04-13,3.7000045776367188,5
2019-04-14,2019-04-20,0.8499984741210938,5
2019-04-21,2019-04-27,1.1500015258789062,5
2019-04-28,2019-05-04,-4.25,5
2019-05-05,2019-05-11,5.625,5
2019-05-12,2019-05-18,-1.7249984741210938,5
2019-05-19,2019-05-25,12.75,5
2019-05-26,2019-06-01,-6.349998474121094,5
2019-06-02,2019-06-08,8.150001525878906,5
2019-06-09,2019-06-15,-4.775001525878906,5
2019-06-16,2019-06-22,-0.875,5
2019-06-23,2019-06-29,3.5500030517577983,5
2019-06-30,2019-07-06,0.1499938964843892,5
2019-07-07,2019-07-13,-0.9250030517577983,5
2019-07-14,2019-07-20,-1.7999954223632955,5
2019-07-21,2019-07-27,1.0749969482421875,5
2019-07-28,2019-08-03,3.375,5
2019-08-04,2019-08-10,-5.574996948242202,5
2019-08-11,2019-08-17,1.4250030517578125,5
2019-08-18,2019-08-24,8.54999542236331,5
2019-08-25,2019-08-31,4.600006103515582,5
2019-09-01,2019-09-07,6.0,5
2019-09-08,2019-09-14,6.5999908447265625,5
2019-09-15,2019-09-21,-3.0333251953125,4
2019-09-22,2019-09-28,-2.0500030517578125,5
2019-09-29,2019-10-05,4.79998779296875,2
2019-10-06,2019-10-12,-3.45001220703125,3
2019-10-13,2019-10-19,2.20001220703125,3
2019-10-20,2019-10-26,4.133321126302083,3
2019-10-27,2019-11-02,12.25,5
2019-11-03,2019-11-09,2.225006103515625,5
2019-11-10,2019-11-16,-6.350006103515625,5
2019-11-17,2019-11-23,4.975006103515625,5
2019-11-24,2019-11-30,-13.850006103515625,5
2019-12-01,2019-12-07,-3.5500030517578125,5
2019-12-08,2019-12-14,-8.70001220703125,5
2019-12-15,2019-12-21,16.774993896484375,5
2019-12-22,2019-12-28,5.350006103515625,5
2019-12-29,2020-01-04,17.574996948242188,5
2020-01-05,2020-01-11,19.774993896484403,5
2020-01-12,2020-01-18,-15.024993896484375,5
2020-01-19,2020-01-25,-2.5500030517578125,5
2020-01-26,2020-02-01,1.0500030517578125,5
2020-02-02,2020-02-08,23.225006103515625,5
2020-02-09,2020-02-15,-3.149993896484375,5
2020-02-16,2020-02-22,21.800003051757812,5
2020-02-23,2020-02-29,-10.675003051757812,5
2020-03-01,2020-03-07,-32.73333740234375,4
2020-03-08,2020-03-14,-66.06666056315105,4
2020-03-15,2020-03-21,1.2750015258789062,5
2020-03-22,2020-03-28,48.150001525878906,5
2020-03-29,2020-04-04,-0.850006103515625,5
2020-04-05,2020-04-11,11.599995930989584,3
2020-04-12,2020-04-18,6.199981689453125,3
2020-04-19,2020-04-25,4.125,5
2020-04-26,2020-05-02,36.04998779296875,3
2020-05-03,2020-05-09,-4.8249969482421875,5
2020-05-10,2020-05-16,-32.375,5
2020-05-17,2020-05-23,1.5,5
2020-05-24,2020-05-30,-8.17498779296875,4
2020-05-31,2020-06-06,8.050003051757812,5
2020-06-07,2020-06-13,-11.524993896484375,4
2020-06-14,2020-06-20,-8.800003051757812,5
2020-06-21,2020-06-27,-1.1999969482421875,5
2020-06-28,2020-07-04,22.074998378753662,5
2020-07-05,2020-07-11,-8.150009155273438,5
2020-07-12,2020-07-18,3.9000091552734375,5
2020-07-19,2020-07-25,9.949996948242188,5
