first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.22000732421875,5
2019-09-15,2019-09-21,1.75,4
2019-09-22,2019-09-28,4.860009765625,5
2019-09-29,2019-10-05,-2.20001220703125,2
2019-10-06,2019-10-12,1.4000040690104167,3
2019-10-13,2019-10-19,6.73333740234375,3
2019-10-20,2019-10-26,9.866658528645834,3
2019-10-27,2019-11-02,-0.8,5
2019-11-03,2019-11-09,4.0800048828125,5
2019-11-10,2019-11-16,5.9,5
2019-11-17,2019-11-23,5.07999267578125,5
2019-11-24,2019-11-30,7.459997558593773,5
2019-12-01,2019-12-07,-11.519995117187523,5
2019-12-08,2019-12-14,-1.84000244140625,5
2019-12-15,2019-12-21,-7.3199951171875,5
2019-12-22,2019-12-28,-4.8,5
2019-12-29,2020-01-04,8.75999755859375,5
2020-01-05,2020-01-11,3.6,5
2020-01-12,2020-01-18,-0.05999755859375,5
2020-01-19,2020-01-25,2.0199951171875,5
2020-01-26,2020-02-01,-4.2,5
2020-02-02,2020-02-08,-7.14000244140625,5
2020-02-09,2020-02-15,0.62000732421875,5
2020-02-16,2020-02-22,7.34000244140625,5
2020-02-23,2020-02-29,-8.160009765625,5
2020-03-01,2020-03-07,-11.25,4
2020-03-08,2020-03-14,-52.274993896484375,4
2020-03-15,2020-03-21,-13.2199951171875,5
2020-03-22,2020-03-28,17.15999755859375,5
2020-03-29,2020-04-04,29.2,5
2020-04-05,2020-04-11,-10.20001220703125,3
2020-04-12,2020-04-18,-16.0,3
2020-04-19,2020-04-25,31.760009765625,5
2020-04-26,2020-05-02,18.833333333333332,3
2020-05-03,2020-05-09,-5.7800048828125,5
2020-05-10,2020-05-16,-5.2199951171875,5
2020-05-17,2020-05-23,6.5,5
2020-05-24,2020-05-30,-8.07501220703125,4
2020-05-31,2020-06-06,-1.1,5
2020-06-07,2020-06-13,-6.5,4
2020-06-14,2020-06-20,-1.339990234375,5
2020-06-21,2020-06-27,-2.460009765625,5
2020-06-28,2020-07-04,5.0800048828125,5
2020-07-05,2020-07-11,-7.45999755859375,5
2020-07-12,2020-07-18,-0.02000732421875,5
2020-07-19,2020-07-25,15.4,5
2020-07-26,2020-08-01,2.7750091552734375,4
2020-08-02,2020-08-08,20.7199951171875,5
2020-08-09,2020-08-15,28.44000244140625,5
2020-08-16,2020-08-22,-11.0,5
2020-08-23,2020-08-29,-5.2,5
2020-08-30,2020-09-05,-0.6,5
