first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,1.0,5
2019-09-15,2019-09-21,-1.475006103515625,4
2019-09-22,2019-09-28,4.62000732421875,5
2019-09-29,2019-10-05,1.4499816894531818,2
2019-10-06,2019-10-12,4.633341471354129,3
2019-10-13,2019-10-19,4.0,3
2019-10-20,2019-10-26,0.6666666666666666,3
2019-10-27,2019-11-02,6.0,5
2019-11-03,2019-11-09,15.4,5
2019-11-10,2019-11-16,-7.8,5
2019-11-17,2019-11-23,4.4,5
2019-11-24,2019-11-30,2.0,5
2019-12-01,2019-12-07,-3.0,5
2019-12-08,2019-12-14,5.0,5
2019-12-15,2019-12-21,-3.4,5
2019-12-22,2019-12-28,1.4,5
2019-12-29,2020-01-04,0.0,5
2020-01-05,2020-01-11,7.0,5
2020-01-12,2020-01-18,6.4,5
2020-01-19,2020-01-25,-1.4,5
2020-01-26,2020-02-01,-2.4,5
2020-02-02,2020-02-08,-0.6,5
2020-02-09,2020-02-15,10.0,5
2020-02-16,2020-02-22,6.0,5
2020-02-23,2020-02-29,-12.8,5
2020-03-01,2020-03-07,-12.75,4
2020-03-08,2020-03-14,-67.5,4
2020-03-15,2020-03-21,-22.0,5
2020-03-22,2020-03-28,-3.6,5
2020-03-29,2020-04-04,5.6,5
2020-04-05,2020-04-11,19.0,3
2020-04-12,2020-04-18,-4.333333333333333,3
2020-04-19,2020-04-25,-12.8800048828125,5
2020-04-26,2020-05-02,22.133341471354168,3
2020-05-03,2020-05-09,-0.65999755859375,5
2020-05-10,2020-05-16,-11.74000244140625,5
2020-05-17,2020-05-23,1.35999755859375,5
2020-05-24,2020-05-30,2.8000030517578125,4
2020-05-31,2020-06-06,-6.2,5
2020-06-07,2020-06-13,1.274993896484375,4
2020-06-14,2020-06-20,-6.67999267578125,5
2020-06-21,2020-06-27,-6.14000244140625,5
2020-06-28,2020-07-04,7.1800048828125,5
2020-07-05,2020-07-11,-10.7800048828125,5
2020-07-12,2020-07-18,1.6,5
2020-07-19,2020-07-25,-9.4,5
2020-07-26,2020-08-01,2.524993896484375,4
2020-08-02,2020-08-08,-0.2199951171875,5
2020-08-09,2020-08-15,2.4800048828125,5
2020-08-16,2020-08-22,4.8199951171875,5
2020-08-23,2020-08-29,5.9,5
2020-08-30,2020-09-05,-9.0,5
