first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-4.524993896484375,5
2019-03-10,2019-03-16,23.024993896484375,5
2019-03-17,2019-03-23,2.9250030517578125,5
2019-03-24,2019-03-30,-20.67498779296875,5
2019-03-31,2019-04-06,3.8000030517578125,5
2019-04-07,2019-04-13,-1.350006103515625,5
2019-04-14,2019-04-20,-2.125,5
2019-04-21,2019-04-27,-0.875,5
2019-04-28,2019-05-04,1.875,5
2019-05-05,2019-05-11,-0.475006103515625,5
2019-05-12,2019-05-18,0.0749969482421875,5
2019-05-19,2019-05-25,5.875,5
2019-05-26,2019-06-01,3.20001220703125,5
2019-06-02,2019-06-08,1.375,5
2019-06-09,2019-06-15,0.524993896484375,5
2019-06-16,2019-06-22,-8.824996948242188,5
2019-06-23,2019-06-29,-18.975006103515625,5
2019-06-30,2019-07-06,-3.1999969482421875,5
2019-07-07,2019-07-13,-6.6999969482421875,5
2019-07-14,2019-07-20,1.0749969482421875,5
2019-07-21,2019-07-27,-2.375,5
2019-07-28,2019-08-03,-3.324996948242159,5
2019-08-04,2019-08-10,-2.25,5
2019-08-11,2019-08-17,-12.524993896484375,5
2019-08-18,2019-08-24,5.024993896484375,5
2019-08-25,2019-08-31,-0.4499969482421591,5
2019-09-01,2019-09-07,20.09999084472659,5
2019-09-08,2019-09-14,2.75,5
2019-09-15,2019-09-21,1.0333251953125,4
2019-09-22,2019-09-28,-0.54998779296875,5
2019-09-29,2019-10-05,-1.1500244140625,2
2019-10-06,2019-10-12,-1.25,3
2019-10-13,2019-10-19,1.9000040690104167,3
2019-10-20,2019-10-26,-0.0333251953125,3
2019-10-27,2019-11-02,-0.0250091552734375,5
2019-11-03,2019-11-09,-1.625,5
2019-11-10,2019-11-16,-1.0250091552734375,5
2019-11-17,2019-11-23,-1.875,5
2019-11-24,2019-11-30,7.475006103515625,5
2019-12-01,2019-12-07,-0.95001220703125,5
2019-12-08,2019-12-14,1.125,5
2019-12-15,2019-12-21,-2.875,5
2019-12-22,2019-12-28,0.524993896484375,5
2019-12-29,2020-01-04,6.20001220703125,5
2020-01-05,2020-01-11,2.274993896484375,5
2020-01-12,2020-01-18,0.875,5
2020-01-19,2020-01-25,-0.625,5
2020-01-26,2020-02-01,-9.875,5
2020-02-02,2020-02-08,-2.7750091552734375,5
2020-02-09,2020-02-15,4.20001220703125,5
2020-02-16,2020-02-22,-6.0500030517578125,5
2020-02-23,2020-02-29,-3.4250030517578125,5
2020-03-01,2020-03-07,0.9333292643229166,4
2020-03-08,2020-03-14,-11.699991861979166,4
2020-03-15,2020-03-21,-11.974990844726562,5
2020-03-22,2020-03-28,15.650009155273438,5
2020-03-29,2020-04-04,2.3000030517578125,5
2020-04-05,2020-04-11,-1.7666829427083333,3
2020-04-12,2020-04-18,-5.79998779296875,3
2020-04-19,2020-04-25,-8.425003051757812,5
2020-04-26,2020-05-02,-0.29998779296875,3
2020-05-03,2020-05-09,10.425003051757812,5
2020-05-10,2020-05-16,0.5500030517578125,5
2020-05-17,2020-05-23,-0.9250030517578125,5
2020-05-24,2020-05-30,-0.5,4
2020-05-31,2020-06-06,-1.625,5
2020-06-07,2020-06-13,-1.0,4
2020-06-14,2020-06-20,-2.975006103515625,5
2020-06-21,2020-06-27,-0.399993896484375,5
2020-06-28,2020-07-04,-5.350002765655546,5
2020-07-05,2020-07-11,5.32501220703125,5
2020-07-12,2020-07-18,-2.1999969482421875,5
2020-07-19,2020-07-25,-1.20001220703125,5
