first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,2.0,5
2019-09-15,2019-09-21,23.75,4
2019-09-22,2019-09-28,57.4,5
2019-09-29,2019-10-05,16.0,2
2019-10-06,2019-10-12,-20.333333333333332,3
2019-10-13,2019-10-19,109.66666666666667,3
2019-10-20,2019-10-26,10.666666666666666,3
2019-10-27,2019-11-02,80.6,5
2019-11-03,2019-11-09,64.2,5
2019-11-10,2019-11-16,15.8,5
2019-11-17,2019-11-23,29.4,5
2019-11-24,2019-11-30,97.2,5
2019-12-01,2019-12-07,2.0,5
2019-12-08,2019-12-14,-77.4,5
2019-12-15,2019-12-21,-7.8,5
2019-12-22,2019-12-28,14.8,5
2019-12-29,2020-01-04,136.6,5
2020-01-05,2020-01-11,173.6,5
2020-01-12,2020-01-18,-71.4,5
2020-01-19,2020-01-25,-65.8,5
2020-01-26,2020-02-01,68.2,5
2020-02-02,2020-02-08,57.0,5
2020-02-09,2020-02-15,-21.2,5
2020-02-16,2020-02-22,59.2,5
2020-02-23,2020-02-29,-187.4,5
2020-03-01,2020-03-07,-86.5,4
2020-03-08,2020-03-14,-709.5,4
2020-03-15,2020-03-21,-140.2,5
2020-03-22,2020-03-28,153.8,5
2020-03-29,2020-04-04,301.0,5
2020-04-05,2020-04-11,-80.66666666666667,3
2020-04-12,2020-04-18,-88.33333333333333,3
2020-04-19,2020-04-25,9.4,5
2020-04-26,2020-05-02,203.0,3
2020-05-03,2020-05-09,31.0,5
2020-05-10,2020-05-16,-119.4,5
2020-05-17,2020-05-23,7.2,5
2020-05-24,2020-05-30,41.0,4
2020-05-31,2020-06-06,14.2,5
2020-06-07,2020-06-13,-114.5,4
2020-06-14,2020-06-20,5.4,5
2020-06-21,2020-06-27,-35.2,5
2020-06-28,2020-07-04,88.8,5
2020-07-05,2020-07-11,-83.2,5
2020-07-12,2020-07-18,5.4,5
2020-07-19,2020-07-25,-12.8,5
2020-07-26,2020-08-01,17.0,4
2020-08-02,2020-08-08,-0.2,5
2020-08-09,2020-08-15,133.4,5
2020-08-16,2020-08-22,-87.2,5
2020-08-23,2020-08-29,-22.4,5
2020-08-30,2020-09-05,-74.4,5
