first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-2.2,5
2019-09-15,2019-09-21,-7.924995422363281,4
2019-09-22,2019-09-28,0.5199951171875113,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,-3.399993896484394,3
2019-10-13,2019-10-19,-1.5,3
2019-10-20,2019-10-26,-2.3333333333333335,3
2019-10-27,2019-11-02,-1.24000244140625,5
2019-11-03,2019-11-09,-1.039996337890625,5
2019-11-10,2019-11-16,0.85999755859375,5
2019-11-17,2019-11-23,-2.55999755859375,5
2019-11-24,2019-11-30,-4.34000244140625,5
2019-12-01,2019-12-07,-4.079998779296875,5
2019-12-08,2019-12-14,-4.379998779296875,5
2019-12-15,2019-12-21,-0.54000244140625,5
2019-12-22,2019-12-28,-2.2,5
2019-12-29,2020-01-04,-7.579998779296875,5
2020-01-05,2020-01-11,-1.620001220703125,5
2020-01-12,2020-01-18,0.1,5
2020-01-19,2020-01-25,8.320001220703125,5
2020-01-26,2020-02-01,-6.260003662109375,5
2020-02-02,2020-02-08,-2.0,5
2020-02-09,2020-02-15,0.64000244140625,5
2020-02-16,2020-02-22,-1.9,5
2020-02-23,2020-02-29,-3.05999755859375,5
2020-03-01,2020-03-07,-2.6750030517578125,4
2020-03-08,2020-03-14,0.0,4
2020-03-15,2020-03-21,-15.27999877929688,5
2020-03-22,2020-03-28,5.019998168945318,5
2020-03-29,2020-04-04,3.939999389648443,5
2020-04-05,2020-04-11,1.1333363850911364,3
2020-04-12,2020-04-18,-3.7000020345052085,3
2020-04-19,2020-04-25,-1.3399993896484375,5
2020-04-26,2020-05-02,-11.766667683919271,3
2020-05-03,2020-05-09,1.1399993896484433,5
2020-05-10,2020-05-16,9.580001831054682,5
2020-05-17,2020-05-23,4.780001831054688,5
2020-05-24,2020-05-30,-7.000003814697266,4
2020-05-31,2020-06-06,-0.779998779296875,5
2020-06-07,2020-06-13,-5.650001525878906,4
2020-06-14,2020-06-20,1.0,5
2020-06-21,2020-06-27,1.7600006103515624,5
2020-06-28,2020-07-04,2.4,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,-0.3799987792968807,5
2020-07-19,2020-07-25,0.9,5
2020-07-26,2020-08-01,-4.900001525878899,4
2020-08-02,2020-08-08,-3.379998779296881,5
2020-08-09,2020-08-15,-1.0400024414062385,5
2020-08-16,2020-08-22,44.57999877929688,5
2020-08-23,2020-08-29,-10.279998779296886,5
2020-08-30,2020-09-05,-5.539996337890625,5
