first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-3.579998779296875,5
2019-09-15,2019-09-21,1.0749969482421875,4
2019-09-22,2019-09-28,-1.939996337890625,5
2019-09-29,2019-10-05,-7.4000091552734375,2
2019-10-06,2019-10-12,-3.26666259765625,3
2019-10-13,2019-10-19,3.4666646321614585,3
2019-10-20,2019-10-26,0.16666666666666666,3
2019-10-27,2019-11-02,4.64000244140625,5
2019-11-03,2019-11-09,1.95999755859375,5
2019-11-10,2019-11-16,3.360003662109375,5
2019-11-17,2019-11-23,10.11999511718751,5
2019-11-24,2019-11-30,-7.0599975585937615,5
2019-12-01,2019-12-07,-4.14000244140625,5
2019-12-08,2019-12-14,-3.739996337890625,5
2019-12-15,2019-12-21,-2.420001220703125,5
2019-12-22,2019-12-28,-3.85999755859375,5
2019-12-29,2020-01-04,7.65999755859375,5
2020-01-05,2020-01-11,-2.220001220703125,5
2020-01-12,2020-01-18,6.3,5
2020-01-19,2020-01-25,-4.6,5
2020-01-26,2020-02-01,1.04000244140625,5
2020-02-02,2020-02-08,-0.6,5
2020-02-09,2020-02-15,-0.320001220703125,5
2020-02-16,2020-02-22,-0.75999755859375,5
2020-02-23,2020-02-29,-5.4,5
2020-03-01,2020-03-07,-3.5,4
2020-03-08,2020-03-14,-30.175003051757812,4
2020-03-15,2020-03-21,1.920001220703125,5
2020-03-22,2020-03-28,7.979998779296875,5
2020-03-29,2020-04-04,12.55999755859375,5
2020-04-05,2020-04-11,5.533335367838561,3
2020-04-12,2020-04-18,-2.5666605631510606,3
2020-04-19,2020-04-25,11.25999755859375,5
2020-04-26,2020-05-02,-2.4666646321614585,3
2020-05-03,2020-05-09,-5.460003662109375,5
2020-05-10,2020-05-16,3.920001220703125,5
2020-05-17,2020-05-23,-2.779998779296875,5
2020-05-24,2020-05-30,0.5,4
2020-05-31,2020-06-06,-4.520001220703113,5
2020-06-07,2020-06-13,-0.9499969482422159,4
2020-06-14,2020-06-20,3.9200012207031363,5
2020-06-21,2020-06-27,-2.9200012207031363,5
2020-06-28,2020-07-04,-4.020001220703113,5
2020-07-05,2020-07-11,-1.3399993896484375,5
2020-07-12,2020-07-18,-2.680001831054682,5
2020-07-19,2020-07-25,-1.0599975585937613,5
2020-07-26,2020-08-01,-2.900001525878899,4
2020-08-02,2020-08-08,5.9,5
2020-08-09,2020-08-15,2.7200012207031135,5
2020-08-16,2020-08-22,-5.480001831054676,5
2020-08-23,2020-08-29,10.680001831054687,5
2020-08-30,2020-09-05,-3.7400024414062387,5
