first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,4.1,5
2019-09-15,2019-09-21,2.3999938964844034,4
2019-09-22,2019-09-28,-12.74000244140625,5
2019-09-29,2019-10-05,21.850006103515625,2
2019-10-06,2019-10-12,7.866658528645871,3
2019-10-13,2019-10-19,4.233337402343712,3
2019-10-20,2019-10-26,-15.466654459635455,3
2019-10-27,2019-11-02,-2.9800048828124774,5
2019-11-03,2019-11-09,-3.6,5
2019-11-10,2019-11-16,-9.7,5
2019-11-17,2019-11-23,-6.75999755859375,5
2019-11-24,2019-11-30,-2.95999755859375,5
2019-12-01,2019-12-07,2.0199951171875,5
2019-12-08,2019-12-14,-4.8800048828125,5
2019-12-15,2019-12-21,5.42000732421875,5
2019-12-22,2019-12-28,-10.4,5
2019-12-29,2020-01-04,7.05999755859375,5
2020-01-05,2020-01-11,-12.64000244140625,5
2020-01-12,2020-01-18,-6.4,5
2020-01-19,2020-01-25,-17.0,5
2020-01-26,2020-02-01,-7.2,5
2020-02-02,2020-02-08,-14.35999755859375,5
2020-02-09,2020-02-15,-20.920001220703124,5
2020-02-16,2020-02-22,0.260003662109375,5
2020-02-23,2020-02-29,-13.960003662109376,5
2020-03-01,2020-03-07,-2.5999984741210938,4
2020-03-08,2020-03-14,-38.974998474121094,4
2020-03-15,2020-03-21,-7.720001220703125,5
2020-03-22,2020-03-28,-0.5199996948242187,5
2020-03-29,2020-04-04,38.51999969482422,5
2020-04-05,2020-04-11,13.5,3
2020-04-12,2020-04-18,-8.833333333333334,3
2020-04-19,2020-04-25,-15.4,5
2020-04-26,2020-05-02,-2.600001017252604,3
2020-05-03,2020-05-09,-5.6,5
2020-05-10,2020-05-16,1.820001220703125,5
2020-05-17,2020-05-23,1.779998779296875,5
2020-05-24,2020-05-30,1.174999237060554,4
2020-05-31,2020-06-06,2.2200012207031192,5
2020-06-07,2020-06-13,-7.674999237060547,4
2020-06-14,2020-06-20,4.360000610351557,5
2020-06-21,2020-06-27,-7.6,5
2020-06-28,2020-07-04,0.15999755859376136,5
2020-07-05,2020-07-11,-2.1,5
2020-07-12,2020-07-18,5.5,5
2020-07-19,2020-07-25,3.2600006103515566,5
2020-07-26,2020-08-01,-5.524997711181648,4
2020-08-02,2020-08-08,-0.4200012207031193,5
2020-08-09,2020-08-15,1.4200012207031194,5
2020-08-16,2020-08-22,-1.4600006103515568,5
2020-08-23,2020-08-29,1.2600006103515569,5
2020-08-30,2020-09-05,-2.460000610351557,5
