first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-146.0,5
2019-03-10,2019-03-16,6.25,5
2019-03-17,2019-03-23,18.0,5
2019-03-24,2019-03-30,-12.5,5
2019-03-31,2019-04-06,113.75,5
2019-04-07,2019-04-13,9.75,5
2019-04-14,2019-04-20,-11.75,5
2019-04-21,2019-04-27,19.75,5
2019-04-28,2019-05-04,55.5,5
2019-05-05,2019-05-11,-22.25,5
2019-05-12,2019-05-18,-56.75,5
2019-05-19,2019-05-25,-94.25,5
2019-05-26,2019-06-01,13.5,5
2019-06-02,2019-06-08,28.25,5
2019-06-09,2019-06-15,9.75,5
2019-06-16,2019-06-22,52.5,5
2019-06-23,2019-06-29,-29.25,5
2019-06-30,2019-07-06,31.5,5
2019-07-07,2019-07-13,11.25,5
2019-07-14,2019-07-20,2.75,5
2019-07-21,2019-07-27,197.75,5
2019-07-28,2019-08-03,190.25,5
2019-08-04,2019-08-10,-54.0,5
2019-08-11,2019-08-17,-19.0,5
2019-08-18,2019-08-24,39.25,5
2019-08-25,2019-08-31,40.5,5
2019-09-01,2019-09-07,28.75,5
2019-09-08,2019-09-14,80.75,5
2019-09-15,2019-09-21,-16.666666666666668,4
2019-09-22,2019-09-28,-20.75,5
2019-09-29,2019-10-05,39.0,2
2019-10-06,2019-10-12,-51.5,3
2019-10-13,2019-10-19,289.0,3
2019-10-20,2019-10-26,-99.33333333333333,3
2019-10-27,2019-11-02,44.25,5
2019-11-03,2019-11-09,-58.25,5
2019-11-10,2019-11-16,11.5,5
2019-11-17,2019-11-23,-53.75,5
2019-11-24,2019-11-30,48.25,5
2019-12-01,2019-12-07,112.0,5
2019-12-08,2019-12-14,78.0,5
2019-12-15,2019-12-21,45.25,5
2019-12-22,2019-12-28,-40.0,5
2019-12-29,2020-01-04,22.5,5
2020-01-05,2020-01-11,54.25,5
2020-01-12,2020-01-18,7.25,5
2020-01-19,2020-01-25,-2.5,5
2020-01-26,2020-02-01,-175.75,5
2020-02-02,2020-02-08,190.0,5
2020-02-09,2020-02-15,96.5,5
2020-02-16,2020-02-22,-173.0,5
2020-02-23,2020-02-29,-103.0,5
2020-03-01,2020-03-07,-59.0,4
2020-03-08,2020-03-14,-350.6666666666667,4
2020-03-15,2020-03-21,-6.25,5
2020-03-22,2020-03-28,159.75,5
2020-03-29,2020-04-04,-3.0,5
2020-04-05,2020-04-11,184.0,3
2020-04-12,2020-04-18,185.0,3
2020-04-19,2020-04-25,-31.25,5
2020-04-26,2020-05-02,159.5,3
2020-05-03,2020-05-09,53.0,5
2020-05-10,2020-05-16,-62.0,5
2020-05-17,2020-05-23,93.75,5
2020-05-24,2020-05-30,13.5,4
2020-05-31,2020-06-06,62.75,5
2020-06-07,2020-06-13,-23.5,4
2020-06-14,2020-06-20,34.5,5
2020-06-21,2020-06-27,-31.25,5
2020-06-28,2020-07-04,110.25,5
2020-07-05,2020-07-11,116.0,5
2020-07-12,2020-07-18,30.5,5
2020-07-19,2020-07-25,160.0,5
