first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,0.0,1
2019-03-31,2019-04-06,-0.5,2
2019-04-07,2019-04-13,0.0,1
2019-05-12,2019-05-18,-36.0,1
2019-08-18,2019-08-24,-183.0,1
2019-10-27,2019-11-02,-321.0,1
2019-12-22,2019-12-28,-159.5,2
2019-12-29,2020-01-04,-125.0,5
2020-01-05,2020-01-11,102.0,5
2020-01-12,2020-01-18,30.0,1
2020-02-16,2020-02-22,-188.0,1
2020-02-23,2020-02-29,-5.75,5
2020-03-01,2020-03-07,-58.333333333333336,4
2020-03-08,2020-03-14,-129.0,4
2020-03-15,2020-03-21,-35.25,5
2020-03-22,2020-03-28,-29.0,5
2020-03-29,2020-04-04,-30.25,5
2020-04-05,2020-04-11,77.33333333333333,3
2020-04-12,2020-04-18,126.5,3
2020-04-19,2020-04-25,43.75,5
2020-04-26,2020-05-02,-10.0,3
2020-05-03,2020-05-09,-51.25,5
2020-05-10,2020-05-16,-66.0,5
2020-05-17,2020-05-23,28.25,5
2020-05-24,2020-05-30,35.75,4
2020-05-31,2020-06-06,-45.25,5
2020-06-07,2020-06-13,-32.25,4
2020-06-14,2020-06-20,-25.25,5
2020-06-21,2020-06-27,12.25,5
2020-06-28,2020-07-04,23.500019073486328,5
2020-07-05,2020-07-11,-49.25001907348633,5
2020-07-12,2020-07-18,-31.0,5
2020-07-19,2020-07-25,5.25,5
