first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-7.5,5
2019-03-10,2019-03-16,67.5,5
2019-03-17,2019-03-23,-57.5,5
2019-03-24,2019-03-30,27.5,5
2019-03-31,2019-04-06,2.5,5
2019-04-07,2019-04-13,20.0,5
2019-04-14,2019-04-20,5.0,5
2019-04-21,2019-04-27,50.0,5
2019-04-28,2019-05-04,-22.5,5
2019-05-05,2019-05-11,0.0,5
2019-05-12,2019-05-18,82.5,5
2019-05-19,2019-05-25,32.5,5
2019-05-26,2019-06-01,32.5,5
2019-06-02,2019-06-08,-25.0,5
2019-06-09,2019-06-15,45.0,5
2019-06-16,2019-06-22,185.0,5
2019-06-23,2019-06-29,15.0,5
2019-06-30,2019-07-06,-67.5,5
2019-07-07,2019-07-13,2.5,5
2019-07-14,2019-07-20,-30.0,5
2019-07-21,2019-07-27,120.0,5
2019-07-28,2019-08-03,-25.0,5
2019-08-04,2019-08-10,107.5,5
2019-08-11,2019-08-17,12.5,5
2019-08-18,2019-08-24,112.5,5
2019-08-25,2019-08-31,-87.5,5
2019-09-01,2019-09-07,-67.5,5
2019-09-08,2019-09-14,-22.5,5
2019-09-15,2019-09-21,-80.0,4
2019-09-22,2019-09-28,147.5,5
2019-09-29,2019-10-05,5.0,2
2019-10-06,2019-10-12,145.0,3
2019-10-13,2019-10-19,130.0,3
2019-10-20,2019-10-26,-106.66666666666667,3
2019-10-27,2019-11-02,82.5,5
2019-11-03,2019-11-09,-45.0,5
2019-11-10,2019-11-16,-282.5,5
2019-11-17,2019-11-23,-140.0,5
2019-11-24,2019-11-30,200.0,5
2019-12-01,2019-12-07,67.5,5
2019-12-08,2019-12-14,-62.5,5
2019-12-15,2019-12-21,-30.0,5
2019-12-22,2019-12-28,90.0,5
2019-12-29,2020-01-04,-35.0,5
2020-01-05,2020-01-11,-120.0,5
2020-01-12,2020-01-18,122.5,5
2020-01-19,2020-01-25,40.0,5
2020-01-26,2020-02-01,-25.0,5
2020-02-02,2020-02-08,37.5,5
2020-02-09,2020-02-15,-57.5,5
2020-02-16,2020-02-22,112.5,5
2020-02-23,2020-02-29,-202.5,5
2020-03-01,2020-03-07,-6.666666666666667,4
2020-03-08,2020-03-14,-510.0,4
2020-03-15,2020-03-21,-184.25,5
2020-03-22,2020-03-28,377.0,5
2020-03-29,2020-04-04,265.0,5
2020-04-05,2020-04-11,93.33333333333333,3
2020-04-12,2020-04-18,220.0,3
2020-04-19,2020-04-25,-192.5,5
2020-04-26,2020-05-02,220.0,3
2020-05-03,2020-05-09,-85.0,5
2020-05-10,2020-05-16,57.5,5
2020-05-17,2020-05-23,-162.5,5
2020-05-24,2020-05-30,85.0,4
2020-05-31,2020-06-06,50.0,5
2020-06-07,2020-06-13,-95.0,4
2020-06-14,2020-06-20,35.0,5
2020-06-21,2020-06-27,-67.5,5
2020-06-28,2020-07-04,235.00007629394486,5
2020-07-05,2020-07-11,-40.0,5
2020-07-12,2020-07-18,12.5,5
2020-07-19,2020-07-25,-35.0,5
