first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,-0.0005999997258186341,5
2019-09-15,2019-09-21,0.0,4
2019-09-22,2019-09-28,-0.0008000001311302171,5
2019-09-29,2019-10-05,-0.003000000491738323,2
2019-10-06,2019-10-12,-0.00033333276708920795,3
2019-10-13,2019-10-19,0.0009999995430310566,3
2019-10-20,2019-10-26,-0.0016666663189729054,3
2019-10-27,2019-11-02,0.0,5
2019-11-03,2019-11-09,0.0,5
2019-11-10,2019-11-16,-0.00020000040531158446,5
2019-11-17,2019-11-23,-0.00019999966025352478,5
2019-11-24,2019-11-30,0.0,5
2019-12-01,2019-12-07,-0.00020000040531158725,5
2019-12-08,2019-12-14,-0.00039999932050704815,5
2019-12-15,2019-12-21,0.0,5
2019-12-22,2019-12-28,-0.00020000040531158308,5
2019-12-29,2020-01-04,0.0008000001311302185,5
2020-01-05,2020-01-11,-0.0008000001311302185,5
2020-01-12,2020-01-18,0.00040000006556510924,5
2020-01-19,2020-01-25,0.00040000006556510924,5
2020-01-26,2020-02-01,0.00040000006556510924,5
2020-02-02,2020-02-08,0.0015999995172023788,5
2020-02-09,2020-02-15,-0.007999997586011894,2
2020-02-16,2020-02-22,0.0005999997258186341,5
2020-02-23,2020-02-29,-0.001499999314546585,2
2020-03-01,2020-03-07,-0.10000006357828777,4
2020-03-08,2020-03-14,-1.116249999962747,4
2020-03-15,2020-03-21,0.000400000065565112,5
2020-03-22,2020-03-28,-0.00020000040531158725,5
2020-03-29,2020-04-04,0.0006000004708766937,5
2020-04-05,2020-04-11,0.00033333276708920795,3
2020-04-12,2020-04-18,-0.00033333276708920795,3
2020-04-19,2020-04-25,0.00040000006556510924,5
2020-04-26,2020-05-02,0.0006666667759418488,3
2020-05-03,2020-05-09,0.0009999997913837434,5
2020-05-10,2020-05-16,-0.0008000001311302185,5
2020-05-17,2020-05-23,0.0005999997258186313,5
2020-05-24,2020-05-30,0.0007500005885958706,4
2020-05-31,2020-06-06,-0.0010000001639127731,2
