first_day_in_week,last_day_in_week,mean,days_in_week
2019-11-24,2019-11-30,-850.0,2
2019-12-01,2019-12-07,-186.0,5
2019-12-08,2019-12-14,88.0,5
2019-12-15,2019-12-21,-128.0,5
2019-12-22,2019-12-28,120.0,5
2019-12-29,2020-01-04,-6.0,5
2020-01-05,2020-01-11,52.0,5
2020-01-12,2020-01-18,-12.0,5
2020-01-19,2020-01-25,6.0,5
2020-01-26,2020-02-01,-10.0,5
2020-02-02,2020-02-08,-4.0,5
2020-02-09,2020-02-15,-210.0,5
2020-02-16,2020-02-22,-108.0,5
2020-02-23,2020-02-29,-310.0,5
2020-03-01,2020-03-07,110.0,4
2020-03-08,2020-03-14,-235.0,4
2020-03-15,2020-03-21,340.0,5
2020-03-22,2020-03-28,-166.0,5
2020-03-29,2020-04-04,-26.0,5
2020-04-05,2020-04-11,243.33333333333334,3
2020-04-12,2020-04-18,-60.0,3
2020-04-19,2020-04-25,60.0,5
2020-04-26,2020-05-02,113.33333333333333,3
2020-05-03,2020-05-09,-64.0,5
2020-05-10,2020-05-16,-344.0,5
2020-05-17,2020-05-23,82.0,5
2020-05-24,2020-05-30,177.5,4
2020-05-31,2020-06-06,-54.0,5
2020-06-07,2020-06-13,-497.5,4
2020-06-14,2020-06-20,294.0,5
2020-06-21,2020-06-27,-104.0,5
2020-06-28,2020-07-04,38.0,5
2020-07-05,2020-07-11,-140.0,5
2020-07-12,2020-07-18,296.0,5
2020-07-19,2020-07-25,-74.0,5
2020-07-26,2020-08-01,10.0,4
2020-08-02,2020-08-08,280.0,5
2020-08-09,2020-08-15,300.0,5
2020-08-16,2020-08-22,-52.0,5
2020-08-23,2020-08-29,50.0,5
2020-08-30,2020-09-05,-220.0,5
